Ráðherra, #fyrirspurna, #svarað, svartími, #ósvarað, ósvartími
fjármála- og efnahagsráðherra, 8, 4, 21, 4, 864
mennta- og menningarmálaráðherra, 9, 8, 21, 1, 861
félags- og jafnréttismálaráðherra, 7, 7, 21, 0, 0
ferðamála-, iðnaðar- og nýsköpunarráðherra, 3, 1, 21, 2, 861
utanríkisráðherra, 3, 3, 21, 0, 0
samgöngu- og sveitarstjórnarráðherra, 6, 1, 21, 5, 861
dómsmálaráðherra, 8, 7, 21, 1, 861
heilbrigðisráðherra, 4, 4, 21, 0, 0
umhverfis- og auðlindaráðherra, 5, 4, 21, 1, 861
forseti, 2, 2, 21, 0, 0
forsætisráðherra, 4, 2, 21, 2, 861
sjávarútvegs- og landbúnaðarráðherra, 1, 0, 0, 1, 861
