Ráðherra, #fyrirspurna, #svarað, svartími, #ósvarað, ósvartími
efnahags- og viðskiptaráðherra, 34, 33, 43, 1, 2441
fjármálaráðherra, 58, 56, 36, 2, 2511
iðnaðarráðherra, 13, 13, 21, 0, 0
forseti, 7, 7, 22, 0, 0
sjávarútvegs- og landbúnaðarráðherra, 23, 22, 40, 1, 2519
dómsmála-  og mannréttindaráðherra, 13, 13, 26, 0, 0
heilbrigðisráðherra, 26, 26, 46, 0, 0
utanríkisráðherra, 25, 25, 22, 0, 0
mennta- og menningarmálaráðherra, 23, 22, 24, 1, 2442
forsætisráðherra, 18, 18, 27, 0, 0
félags- og tryggingamálaráðherra, 16, 16, 32, 0, 0
umhverfisráðherra, 18, 18, 30, 0, 0
samgöngu-  og sveitarstjórnarráðherra, 11, 11, 31, 0, 0
innanríkisráðherra, 29, 27, 41, 2, 2440
velferðarráðherra, 37, 37, 37, 0, 0
