Ráðherra, #fyrirspurna, #svarað, svartími, #ósvarað, ósvartími
mennta- og menningarmálaráðherra, 29, 29, 42, 0, 0
umhverfis- og auðlindaráðherra, 29, 28, 20, 1, 1445
utanríkisráðherra, 16, 16, 34, 0, 0
fjármála- og efnahagsráðherra, 72, 66, 38, 6, 1493
félags- og húsnæðismálaráðherra, 27, 26, 34, 1, 1446
forsætisráðherra, 13, 13, 31, 0, 0
dómsmálaráðherra, 14, 14, 29, 0, 0
innanríkisráðherra, 58, 51, 30, 7, 1468
iðnaðar- og viðskiptaráðherra, 15, 15, 35, 0, 0
heilbrigðisráðherra, 48, 48, 22, 0, 0
sjávarútvegs- og landbúnaðarráðherra, 28, 28, 31, 0, 0
forseti, 7, 7, 17, 0, 0
