Ráðherra, #fyrirspurna, #svarað, svartími, #ósvarað, ósvartími
umhverfis- og auðlindaráðherra, 36, 35, 52, 1, 199
fjármála- og efnahagsráðherra, 70, 61, 60, 9, 193
mennta- og menningarmálaráðherra, 40, 33, 57, 7, 262
sjávarútvegs- og landbúnaðarráðherra, 54, 53, 32, 1, 269
ferðamála-, iðnaðar- og nýsköpunarráðherra, 41, 39, 53, 2, 129
samgöngu- og sveitarstjórnarráðherra, 43, 43, 41, 0, 0
utanríkisráðherra, 9, 9, 130, 0, 0
dómsmálaráðherra, 55, 54, 49, 1, 179
félags- og barnamálaráðherra, 41, 41, 47, 0, 0
forsætisráðherra, 26, 26, 33, 0, 0
heilbrigðisráðherra, 50, 49, 33, 1, 190
forseti, 5, 5, 20, 0, 0
utanríkis- og þróunarsamvinnuráðherra, 10, 10, 75, 0, 0
