Ráðherra, #fyrirspurna, #svarað, svartími, #ósvarað, ósvartími
mennta- og menningarmálaráðherra, 24, 23, 69, 1, 776
dómsmálaráðherra, 45, 39, 43, 6, 683
forsætisráðherra, 20, 19, 28, 1, 677
forseti, 10, 10, 31, 0, 0
fjármála- og efnahagsráðherra, 57, 51, 53, 6, 704
samgöngu- og sveitarstjórnarráðherra, 40, 39, 31, 1, 680
ferðamála-, iðnaðar- og nýsköpunarráðherra, 17, 17, 38, 0, 0
félags- og jafnréttismálaráðherra, 34, 33, 34, 1, 676
umhverfis- og auðlindaráðherra, 30, 30, 46, 0, 0
sjávarútvegs- og landbúnaðarráðherra, 30, 30, 32, 0, 0
heilbrigðisráðherra, 43, 43, 30, 0, 0
utanríkisráðherra, 16, 15, 50, 1, 686
