Ráðherra, #fyrirspurna, #svarað, svartími, #ósvarað, ósvartími
sjávarútvegs- og landbúnaðarráðherra, 23, 23, 34, 0, 0
umhverfis- og auðlindaráðherra, 18, 18, 23, 0, 0
heilbrigðisráðherra, 31, 31, 18, 0, 0
innanríkisráðherra, 49, 42, 35, 7, 1748
mennta- og menningarmálaráðherra, 20, 20, 26, 0, 0
utanríkisráðherra, 17, 17, 23, 0, 0
félags- og húsnæðismálaráðherra, 16, 16, 30, 0, 0
fjármála- og efnahagsráðherra, 40, 40, 34, 0, 0
forsætisráðherra, 16, 16, 24, 0, 0
iðnaðar- og viðskiptaráðherra, 8, 8, 47, 0, 0
forseti, 4, 4, 14, 0, 0
