Ráðherra, #fyrirspurna, #svarað, svartími, #ósvarað, ósvartími
heilbrigðisráðherra, 20, 19, 22, 1, 14
fjármála- og efnahagsráðherra, 22, 12, 51, 10, 43
samgöngu- og sveitarstjórnarráðherra, 11, 9, 23, 2, 19
utanríkis- og þróunarsamvinnuráðherra, 8, 7, 27, 1, 4
sjávarútvegs- og landbúnaðarráðherra, 22, 19, 27, 3, 11
félags- og barnamálaráðherra, 15, 9, 43, 6, 19
ferðamála-, iðnaðar- og nýsköpunarráðherra, 6, 4, 25, 2, 26
dómsmálaráðherra, 26, 21, 28, 5, 23
mennta- og menningarmálaráðherra, 18, 11, 45, 7, 36
forsætisráðherra, 7, 5, 26, 2, 41
umhverfis- og auðlindaráðherra, 19, 14, 36, 5, 44
