Ráðherra, #fyrirspurna, #svarað, svartími, #ósvarað, ósvartími
dómsmálaráðherra, 85, 82, 47, 3, 395
forseti, 9, 9, 13, 0, 0
félags- og jafnréttismálaráðherra, 13, 12, 39, 1, 544
fjármála- og efnahagsráðherra, 69, 59, 66, 10, 462
sjávarútvegs- og landbúnaðarráðherra, 48, 46, 37, 2, 431
utanríkisráðherra, 21, 21, 65, 0, 0
umhverfis- og auðlindaráðherra, 35, 35, 43, 0, 0
mennta- og menningarmálaráðherra, 47, 41, 69, 6, 474
heilbrigðisráðherra, 63, 63, 37, 0, 0
forsætisráðherra, 23, 23, 28, 0, 0
samgöngu- og sveitarstjórnarráðherra, 41, 41, 27, 0, 0
ferðamála-, iðnaðar- og nýsköpunarráðherra, 33, 29, 40, 4, 424
félags- og barnamálaráðherra, 18, 16, 53, 2, 412
