Ráðherra, #fyrirspurna, #svarað, svartími, #ósvarað, ósvartími
innanríkisráðherra, 40, 39, 29, 1, 2066
atvinnuvega- og nýsköpunarráðherra, 26, 25, 24, 1, 2050
velferðarráðherra, 29, 29, 23, 0, 0
utanríkisráðherra, 17, 13, 29, 4, 2048
forsætisráðherra, 10, 10, 22, 0, 0
mennta- og menningarmálaráðherra, 15, 14, 19, 1, 2036
umhverfis- og auðlindaráðherra, 16, 14, 18, 2, 2049
fjármála- og efnahagsráðherra, 50, 40, 39, 10, 2054
forseti, 4, 4, 13, 0, 0
