Ráðherra, #fyrirspurna, #svarað, svartími, #ósvarað, ósvartími
fjármála- og efnahagsráðherra, 5, 4, 34, 1, 1916
sjávarútvegs- og landbúnaðarráðherra, 2, 1, 54, 1, 1916
utanríkisráðherra, 1, 1, 52, 0, 0
innanríkisráðherra, 7, 2, 49, 5, 1915
mennta- og menningarmálaráðherra, 1, 0, 0, 1, 1916
iðnaðar- og viðskiptaráðherra, 1, 1, 9, 0, 0
