Ráðherra, #fyrirspurna, #svarað, svartími, #ósvarað, ósvartími
efnahags- og viðskiptaráðherra, 41, 40, 35, 1, 2269
innanríkisráðherra, 46, 45, 37, 1, 2242
mennta- og menningarmálaráðherra, 28, 28, 28, 0, 0
velferðarráðherra, 43, 41, 26, 2, 2262
forsætisráðherra, 18, 18, 30, 0, 0
sjávarútvegs- og landbúnaðarráðherra, 18, 18, 29, 0, 0
fjármálaráðherra, 36, 35, 33, 1, 2236
utanríkisráðherra, 18, 18, 32, 0, 0
iðnaðarráðherra, 13, 11, 30, 2, 2261
umhverfisráðherra, 17, 17, 34, 0, 0
ráðherra norrænna samstarfsmála, 1, 1, 19, 0, 0
forseti, 3, 3, 17, 0, 0
