málsnúmer;málsheiti;staða máls;heildartími;nefndir
1;fjárlög 2016;Samþykkt sem lög frá Alþingi.;2 days, 13:15:00;
2;ýmsar forsendur fjárlagafrumvarps 2016;Samþykkt sem lög frá Alþingi.;8:30:00;
3;almannatryggingar;Ekki útrætt á 145. þingi. (Var í nefnd eftir 1. umræðu.);1:16:00;
4;byggingarsjóður Landspítala;Vísað til ríkisstjórnar.;0:53:00;
5;framtíðargjaldmiðill Íslands;Ekki útrætt á 145. þingi. (Var í nefnd eftir fyrri umræðu.);;
6;fullgilding bókunar við samning Sameinuðu þjóðanna gegn pyndingum (OPCAT);Samþykkt sem ályktun Alþingis.;0:15:00;
7;skyldutrygging lífeyrisréttinda og starfsemi lífeyrissjóða;Ekki útrætt á 145. þingi. (Var í nefnd eftir 1. umræðu.);2:35:00;
8;virðisaukaskattur;Vísað til ríkisstjórnar.;2:26:00;
9;aukinn stuðningur við móttöku flóttafólks;Ekki útrætt á 145. þingi. (Var í nefnd eftir fyrri umræðu.);;
10;þjóðgarður á miðhálendinu;Ekki útrætt á 145. þingi. (Var í nefnd eftir fyrri umræðu.);3:22:00;
11;almenn hegningarlög;Ekki útrætt á 145. þingi. (Var í nefnd eftir 1. umræðu.);2:15:00;
12;sjálfstætt eftirlit með starfsemi og starfsháttum lögreglu;Ekki útrætt á 145. þingi. (Var í nefnd eftir fyrri umræðu.);0:03:00;
13;verslun með áfengi og tóbak o.fl.;Ekki útrætt á 145. þingi. Beið 2. umræðu;5:32:00;
14;embætti umboðsmanns aldraðra;Ekki útrætt á 145. þingi. (Var í nefnd eftir fyrri umræðu.);0:29:00;
15;bráðaaðgerðir til að tryggja öllum húsnæði á viðráðanlegum kjörum;Ekki útrætt á 145. þingi. (Var í nefnd eftir fyrri umræðu.);1:53:00;
16;óundirbúinn fyrirspurnatími;;0:05:00;
17;lýðháskólar;Samþykkt sem ályktun Alþingis.;2:18:00;
18;upplýsinga- og sannleiksskylda ráðherra;Ekki útrætt á 145. þingi. (Var í nefnd eftir 1. umræðu.);;
19;upplýsingalög;Ekki útrætt á 145. þingi. (Var í nefnd eftir 1. umræðu.);0:50:00;
20;aukinn stuðningur vegna tæknifrjóvgana;Samþykkt sem ályktun Alþingis.;1:19:00;
21;staða kvenna á vinnumarkaði;;;
22;fríverslunarsamningur við Japan;Samþykkt sem ályktun Alþingis.;0:01:00;
23;samstarf Íslands og Grænlands;Samþykkt sem ályktun Alþingis.;1:50:00;
24;tekjutenging vaxta- og barnabóta;;;
25;fyrirhuguð sala Landsbankans;;0:49:00;
26;afgreiðslutími úrskurðarnefndar um upplýsingamál;;;
27;aðstoð við langveik börn;;;
28;lífeyrisgreiðslur og lágmarkslaun;;;
29;endurskoðun á skilyrðum gjafsóknar;Ekki útrætt á 145. þingi. (Beið fyrri umræðu.);;
30;lagaskrifstofa Alþingis;Ekki útrætt á 145. þingi. (Var í nefnd eftir 1. umræðu.);0:05:00;
31;sólarhringsmeðferð í öndunarvél á heimili sjúklinga;Samþykkt sem ályktun Alþingis.;1:11:00;
32;endurskoðun laga um lögheimili;Samþykkt sem ályktun Alþingis.;;
33;tekjuskattur;Ekki útrætt á 145. þingi. (Beið 1. umræðu.);;
34;tekjuskattur;Ekki útrætt á 145. þingi. (Beið 1. umræðu.);;
35;sjóðir og stofnanir sem starfa samkvæmt staðfestri skipulagsskrá og málefni aldraðra;Ekki útrætt á 145. þingi. (Var í nefnd eftir 1. umræðu.);2:14:00;
36;millilandaflug um Akureyrar- og Egilsstaðaflugvelli;Ekki útrætt á 145. þingi. (Beið fyrri umræðu.);;
37;kjör aldraðra og öryrkja;;;
38;undirbúningur að hönnun og stækkun Þorlákshafnar;Ekki útrætt á 145. þingi. (Beið fyrri umræðu.);;
39;millilandaflug um Hornafjarðarflugvöll;Ekki útrætt á 145. þingi. (Beið fyrri umræðu.);;
40;óundirbúinn fyrirspurnatími;;0:06:00;
41;þjóðarátak um læsi;;;
42;fullnusta refsinga;;;
43;móttaka flóttamanna;;;
44;beiting Dyflinnarreglugerðarinnar;;;
45;forritunarkennsla í grunnskólum;;;
46;stefna í málefnum innflytjenda og flóttamanna;;;
47;Akureyrarakademían;;;
48;óundirbúinn fyrirspurnatími;;;
49;málefni flóttamanna;;;
50;móttaka flóttamanna;;;
51;Hús íslenskra fræða og viðbygging við Alþingi;;3:29:00;
52;hæfnispróf í skólakerfinu;;;
53;uppbygging Landspítalans við Hringbraut;;;
54;einkavæðing Landsbankans;;;
55;stofnun áburðarverksmiðju;Ekki útrætt á 145. þingi. (Beið fyrri umræðu.);;
56;þjóðfáni Íslendinga og ríkisskjaldarmerkið;Ekki útrætt á 145. þingi. (Beið 1. umræðu.);;
57;þingsköp Alþingis;Ekki útrætt á 145. þingi. (Var í nefnd eftir 1. umræðu.);0:02:00;
