málsnúmer;málsheiti;staða máls;heildartími;nefndir
1;fjárlög 2018;Samþykkt sem lög frá Alþingi.;1 day, 9:40:00;
2;fjármálastefna 2018--2022;Samþykkt sem ályktun Alþingis.;15:03:00;
3;breyting á ýmsum lögum vegna fjárlaga 2018;Samþykkt sem lög frá Alþingi.;5:52:00;
4;mannvirki;Samþykkt sem lög frá Alþingi.;0:30:00;
5;varnir gegn snjóflóðum og skriðuföllum;Samþykkt sem lög frá Alþingi.;1:11:00;
6;stjórn fiskveiða;Í nefnd eftir 1. umræðu.;;
7;útlendingar;Samþykkt sem lög frá Alþingi.;1:02:00;
8;dómstólar o.fl.;Samþykkt sem lög frá Alþingi.;1:39:00;
9;skilyrðislaus grunnframfærsla;Vísað til ríkisstjórnar.;2:15:00;
10;almenn hegningarlög;Samþykkt sem lög frá Alþingi.;2:02:00;
11;tekjustofnar sveitarfélaga;Samþykkt sem lög frá Alþingi.;0:40:00;
12;ársreikningar og hlutafélög;Í nefnd eftir 1. umræðu.;0:45:00;
13;rafræn fasteignaviðskipti og ástandsskýrslur fasteigna;Í nefnd eftir fyrri umræðu.;1:40:00;
14;trygging gæða, hagkvæmni og skilvirkni opinberra fjárfestinga;Samþykkt sem ályktun Alþingis.;0:10:00;
15;aðdragandi að útgáfu starfsleyfis til kísilverksmiðju Sameinaðs sílikons hf. í Helguvík o.fl.;;;
16;aðdragandi að útgáfu starfsleyfis til kísilverksmiðju Sameinaðs sílikons hf. í Helguvík o.fl.;;;
17;alþjóðasamningur um efnahagsleg, félagsleg og menningarleg réttindi;Í nefnd eftir fyrri umræðu.;;
18;notkun og ræktun lyfjahamps;Í nefnd eftir fyrri umræðu.;0:00:00;
19;þingfararkaup alþingismanna og þingfararkostnaður;Í nefnd eftir 1. umræðu.;;
20;ábendingar í rannsóknarskýrslum Alþingis;;;
21;stimpilgjald;Í nefnd eftir 1. umræðu.;;
22;brottnám líffæra;Samþykkt sem lög frá Alþingi.;2:17:00;
23;skyldutrygging lífeyrisréttinda og starfsemi lífeyrissjóða;Í nefnd eftir 1. umræðu.;;
24;fæðingar- og foreldraorlof;Í nefnd eftir 1. umræðu.;1:07:00;
25;sjúkratryggingar;Í nefnd eftir 1. umræðu.;0:05:00;
26;þjónusta við fatlað fólk með langvarandi stuðningsþarfir;Samþykkt sem lög frá Alþingi.;1:25:00;
27;félagsþjónusta sveitarfélaga;Samþykkt sem lög frá Alþingi.;17:33:00;
28;málefni fatlaðs fólks og aðbúnaður, hollustuhættir og öryggi á vinnustöðum;Samþykkt sem lög frá Alþingi.;4:47:00;
29;samræmd próf;Fyrirspurninni var svarað skriflega.;;
30;atkvæðakassar;Fyrirspurninni var svarað skriflega.;;
31;siðareglur og upplýsingagjöf;Fyrirspurninni var svarað skriflega.;;
32;kjarasamningar framhaldsskólakennara;Fyrirspurninni var svarað skriflega.;;
33;aksturskostnaður alþingismanna;Fyrirspurninni var svarað skriflega.;;
34;útlendingar;Í nefnd eftir 1. umræðu.;;
35;óundirbúinn fyrirspurnatími;;;
36;velferðarmál;;;
37;bankamál;;1:49:00;
