málsnúmer;málsheiti;staða máls;heildartími;nefndir
1;fjárlög 2017;Samþykkt sem lög frá Alþingi.;2 days, 12:04:00;
2;ýmsar forsendur fjárlagafrumvarps 2017;Samþykkt sem lög frá Alþingi.;6:01:00;
3;sálfræðiþjónusta í framhaldsskólum;Ekki útrætt á 146. þingi. (Var í nefnd eftir fyrri umræðu.);0:02:00;
4;sjúkratryggingar;Ekki útrætt á 146. þingi. (Var í nefnd eftir 1. umræðu.);0:05:00;
5;málefni Brúneggja ehf. og upplýsingagjöf til almennings um brot á reglum um dýravelferð;Fyrirspurnin var felld niður vegna ráðherraskipta.;;
6;Lífeyrissjóður starfsmanna ríkisins;Samþykkt sem lög frá Alþingi.;5:46:00;
7;kjararáð;Samþykkt sem lög frá Alþingi.;11:23:00;
8;lokafjárlög 2015;Samþykkt sem lög frá Alþingi.;2:19:00;
9;breyting á ályktun Alþingis um rannsókn á kaupum á 45,8% eignarhlut í Búnaðarbanka Íslands hf. o.fl.;Samþykkt sem ályktun Alþingis.;;
10;fjáraukalög 2016;Samþykkt sem lög frá Alþingi.;8:02:00;
11;fjöldi lífeyrisþega sem fá skertar greiðslur vegna búsetu erlendis;Fyrirspurnin var felld niður vegna ráðherraskipta.;;
12;aðgerðaáætlun gegn mansali og vinnulag við mansalsmál;Fyrirspurnin var felld niður vegna ráðherraskipta.;;
13;málefni fatlaðs fólks og aðbúnaður, hollustuhættir og öryggi á vinnustöðum;Samþykkt sem lög frá Alþingi.;;
14;borgarastyrjöldin í Sýrlandi;Fyrirspurnin var felld niður vegna ráðherraskipta.;;
15;orkukostnaður heimilanna;Fyrirspurnin var felld niður vegna ráðherraskipta.;;
16;eftirlitsstofnanir;Fyrirspurnin var felld niður vegna ráðherraskipta.;;
17;eftirlitsstofnanir;Fyrirspurnin var felld niður vegna ráðherraskipta.;;
18;eftirlitsstofnanir;Fyrirspurnin var felld niður vegna ráðherraskipta.;;
19;eftirlitsstofnanir;Fyrirspurnin var felld niður vegna ráðherraskipta.;;
20;eftirlitsstofnanir;Fyrirspurnin var felld niður vegna ráðherraskipta.;;
21;eftirlitsstofnanir;Fyrirspurnin var felld niður vegna ráðherraskipta.;;
22;eftirlitsstofnanir;Fyrirspurnin var felld niður vegna ráðherraskipta.;;
23;eftirlitsstofnanir;Fyrirspurnin var felld niður vegna ráðherraskipta.;;
24;eftirlitsstofnanir;Fyrirspurnin var felld niður vegna ráðherraskipta.;;
25;ónýttur persónuafsláttur;Fyrirspurnin var felld niður vegna ráðherraskipta.;;
26;fjöldi starfsmanna Stjórnarráðsins;Fyrirspurnin var felld niður vegna ráðherraskipta.;;
27;launakostnaður og fjöldi starfsmanna;Fyrirspurnin var felld niður vegna ráðherraskipta.;;
28;veiting ríkisborgararéttar;Samþykkt sem lög frá Alþingi.;;
29;útlendingar;Samþykkt sem lög frá Alþingi.;0:20:00;
30;frestun á fundum Alþingis;;;
31;meðferð og framkvæmd ályktana Alþingis 2015;;0:54:00;
32;málefni Brúneggja ehf. og upplýsingagjöf til almennings um brot á reglum um dýravelferð;Fyrirspurninni var svarað skriflega.;;
33;aðgerðaáætlun gegn mansali og vinnulag við mansalsmál;Fyrirspurninni var svarað skriflega.;;
34;fjöldi lífeyrisþega sem fá skertar greiðslur vegna búsetu erlendis;Fyrirspurninni var svarað skriflega.;;
35;borgarastyrjöldin í Sýrlandi;Fyrirspurninni var svarað skriflega.;;
36;eftirlitsstofnanir;Fyrirspurninni var svarað skriflega.;;
37;eftirlitsstofnanir;Fyrirspurninni var svarað skriflega.;;
38;eftirlitsstofnanir;Fyrirspurninni var svarað skriflega.;;
39;eftirlitsstofnanir;Fyrirspurninni var svarað skriflega.;;
40;eftirlitsstofnanir;Fyrirspurninni var svarað skriflega.;;
41;eftirlitsstofnanir;Fyrirspurninni var svarað skriflega.;;
42;eftirlitsstofnanir;Fyrirspurninni var svarað skriflega.;;
43;eftirlitsstofnanir;Fyrirspurninni var svarað skriflega.;;
44;eftirlitsstofnanir;Fyrirspurninni var svarað skriflega.;;
45;eftirlitsstofnanir;Fyrirspurninni var svarað skriflega.;;
46;ónýttur persónuafsláttur;Fyrirspurninni var svarað skriflega.;;
47;launakostnaður og fjöldi starfsmanna;Fyrirspurninni var svarað skriflega.;;
48;fjöldi starfsmanna Stjórnarráðsins;Fyrirspurninni var svarað skriflega.;;
49;greiðsluþátttaka sjúklinga;Ekki útrætt á 146. þingi. (Var í nefnd eftir fyrri umræðu.);0:45:00;
50;stefna í almannavarna- og öryggismálum;Fyrirspurninni var svarað skriflega.;;
51;skipun loftslagsráðs;Fyrirspurninni var svarað skriflega.;;
52;eftirfylgni við þingsályktun nr. 45/145;Fyrirspurninni var svarað skriflega.;;
53;bann við kjarnorkuvopnum;Fyrirspurninni var svarað munnlega.;;
54;meðferð kynferðisbrota;Fyrirspurninni var svarað skriflega.;;
55;niðurfærsla verðtryggðra fasteignalána;;;
56;skráning trúar- og lífsskoðana;Fyrirspurninni var svarað skriflega.;;
57;heilbrigðisáætlun;Samþykkt sem ályktun Alþingis.;4:22:00;
58;upptaka samræmdrar vísitölu neysluverðs;Ekki útrætt á 146. þingi. (Var í nefnd eftir fyrri umræðu.);;
59;sáttameðferð;Fyrirspurninni var svarað skriflega.;;
60;fasteignir Þróunarfélags Keflavíkurflugvallar, Kadeco;Fyrirspurninni var svarað skriflega.;;
61;losun kolefnisgasa frá orkufrekum iðnaði og íslenskum flugflota;Fyrirspurninni var svarað skriflega.;;
62;heildstæð stefna í málefnum einstaklinga með heilabilun;Samþykkt sem ályktun Alþingis.;1:15:00;
63;skyldutrygging lífeyrisréttinda og starfsemi lífeyrissjóða;Ekki útrætt á 146. þingi. (Var í nefnd eftir 1. umræðu.);1:05:00;
64;hlutafélög;Ekki útrætt á 146. þingi. (Var í nefnd eftir 1. umræðu.);0:50:00;
65;minning tveggja alda afmælis Jóns Árnasonar;Ekki útrætt á 146. þingi. (Var í nefnd eftir fyrri umræðu.);0:20:00;
66;fjármálastefna 2017--2022;Samþykkt sem ályktun Alþingis.;9:04:00;
67;Lífeyrissjóður bænda;Ekki útrætt á 146. þingi. (Var í nefnd eftir 1. umræðu.);1:39:00;
68;breytt skipan ráðuneyta í Stjórnarráði Íslands;Samþykkt sem ályktun Alþingis.;2:48:00;
69;starfshópur um keðjuábyrgð;Ekki útrætt á 146. þingi. (Var í nefnd eftir fyrri umræðu.);;
70;upplýsinga- og sannleiksskylda ráðherra;Ekki útrætt á 146. þingi. (Var í nefnd eftir 1. umræðu.);0:20:00;
71;orkukostnaður heimilanna;Fyrirspurninni var svarað skriflega.;;
72;framsals- og fangaskiptasamningar;Fyrirspurninni var svarað skriflega.;;
73;framsal íslenskra fanga;Fyrirspurninni var svarað munnlega.;;
74;byggingarkostnaður og endurskoðun laga;Fyrirspurninni var svarað munnlega.;;
75;kostnaður við sjúkraflug og fæðingarþjónustu í Vestmannaeyjum;Fyrirspurninni var svarað skriflega.;;
76;merking á vörum frá hernumdum svæðum Palestínu;Ekki útrætt á 146. þingi. (Var í nefnd eftir fyrri umræðu.);1:03:00;
77;úttekt á starfsemi fjölmiðla utan höfuðborgarsvæðisins og leiðir til að tryggja stöðu þeirra;Ekki útrætt á 146. þingi. (Beið síðari umræðu.);0:18:00;
