málsnúmer;málsheiti;staða máls;heildartími;nefndir
78;aðskilnaður fjárfestingarbanka og viðskiptabanka;Ekki útrætt á 146. þingi. (Var í nefnd eftir fyrri umræðu.);;
79;þingnefnd um alþjóðlega fríverslunarsamninga;Ekki útrætt á 146. þingi. (Var í nefnd eftir fyrri umræðu.);1:15:00;
80;sjúkratryggingar;Samþykkt sem lög frá Alþingi.;1:18:00;
81;tannvernd aldraðra;Fyrirspurninni var svarað skriflega.;;
82;rafrænt eftirlit við afplánun refsinga;Fyrirspurninni var svarað skriflega.;;
83;stjórn fiskveiða;Ekki útrætt á 146. þingi. (Var í nefnd eftir 1. umræðu.);0:10:00;
84;fæðingar- og foreldraorlof og tryggingagjald;Ekki útrætt á 146. þingi. (Var í nefnd eftir 1. umræðu.);4:01:00;
85;tekjuskattur;Ekki útrætt á 146. þingi. (Var í nefnd eftir 1. umræðu.);;
86;tekjuskattur;Ekki útrætt á 146. þingi. (Var í nefnd eftir 1. umræðu.);;
87;skipun starfshóps til að endurbæta löggjöf um vernd, velferð og veiðar villtra fugla og spendýra;Ekki útrætt á 146. þingi. (Var í nefnd eftir fyrri umræðu.);;
88;sala ríkiseigna, lækkun skulda ríkissjóðs og fjárfesting í innviðum;Ekki útrætt á 146. þingi. (Var í nefnd eftir fyrri umræðu.);;
89;framkvæmd þingsályktunar um undirbúning að gerð þjóðhagsáætlana til langs tíma;Fyrirspurninni var svarað skriflega.;;
90;málefni lánsveðshóps;Fyrirspurninni var svarað skriflega.;;
91;íblöndunarefni í bifreiðaeldsneyti;Fyrirspurninni var svarað skriflega.;;
92;endurskoðun samgönguáætlunar;Fyrirspurninni var svarað munnlega.;;
93;hagir og viðhorf aldraðra;;;
94;umsóknarferli hjá sýslumönnum;Fyrirspurninni var svarað skriflega.;;
95;kvíði barna og unglinga;Fyrirspurninni var svarað munnlega.;;
96;styrkir úr menningarsjóðum;Fyrirspurninni var svarað skriflega.;;
97;dreif- og fjarnám;Fyrirspurninni var svarað munnlega.;;
98;fjárlagaliðurinn Sjúkrahús, óskipt;Fyrirspurninni var svarað skriflega.;;
99;nýsköpunarverkefni fyrir fatlað fólk;Fyrirspurninni var svarað skriflega.;;
100;tilvísunarkerfi í barnalækningum;Fyrirspurninni var svarað skriflega.;;
101;almenn hegningarlög;Ekki útrætt á 146. þingi. (Var í nefnd eftir 1. umræðu.);1:51:00;
102;jafnræði í skráningu foreldratengsla;Samþykkt sem ályktun Alþingis.;0:06:00;
103;tekjuskattur;Ekki útrætt á 146. þingi. (Beið 1. umræðu.);;
104;umsagnir um atvinnuleyfi útlendinga;Fyrirspurninni var svarað skriflega.;;
105;lækkun virðisaukaskatts á gleraugum og linsum;Fyrirspurninni var svarað munnlega.;;
106;verslun með áfengi og tóbak o.fl.;Ekki útrætt á 146. þingi. Beið 2. umræðu;8:20:00;
107;innviða- og byggingarréttargjald;Fyrirspurninni var svarað skriflega.;;
108;viðbrögð við lokun neyðarbrautar;Fyrirspurninni var svarað skriflega.;;
109;óundirbúinn fyrirspurnatími;;;
110;framkvæmd og fjármögnun heilbrigðisstefnu;;1:05:00;
111;skýrsla um aflandseignir og brot á siðareglum;;0:35:00;
112;uppfylling kosningaloforða;;;
113;innflutningur á landbúnaðarafurðum og loftslagsmál;;3:04:00;
114;aðgerðaáætlun í loftslagsmálum;;;
115;stytting biðlista á kvennadeildum;Ekki útrætt á 146. þingi. (Var í nefnd eftir fyrri umræðu.);;
116;skýrsla starfshóps um eignir Íslendinga á aflandssvæðum og tekjutap hins opinbera;;1:07:00;
117;húsnæðismál;;0:05:00;
118;fordæming aðgerða Bandaríkjaforseta gegn múslimum;Ekki útrætt á 146. þingi. (Beið fyrri umræðu.);;
119;orlof húsmæðra;Ekki útrætt á 146. þingi. (Var í nefnd eftir 1. umræðu.);0:08:00;
120;tekjustofnar sveitarfélaga;Ekki útrætt á 146. þingi. (Var í nefnd eftir 1. umræðu.);-1 day, 23:43:00;
121;atvinnuleysistryggingar;Ekki útrætt á 146. þingi. (Var í nefnd eftir 1. umræðu.);;
122;fjárveitingar til sóknaráætlana landshluta og hlutverk þeirra;Fyrirspurninni var svarað munnlega.;;
123;fjöldi vínveitingaleyfa;Fyrirspurninni var svarað skriflega.;;
124;rannsókn á fangaflugi bandarískra yfirvalda um Ísland;Fyrirspurninni var svarað munnlega.;;
125;óundirbúinn fyrirspurnatími;;;
126;takmörkun á ferðafrelsi íslensks ríkisborgara;;1:15:00;
127;yfirlýsingar Bandaríkjaforseta um meðferð á föngum;;;
128;yfirlýsingar Bandaríkjaforseta og framtíð NATO;;12:18:00;
129;mengun frá kísilverum;;;
130;sjómannaverkfallið;;1:07:00;
131;byggðaáætlun;Fyrirspurninni var svarað munnlega.;;
132;stjórnmálaástandið í Bandaríkjunum;;;
133;spár um íbúðafjárfestingu;Fyrirspurninni var svarað skriflega.;;
134;spár um íbúðafjárfestingu;Fyrirspurninni var svarað skriflega.;;
135;flutningur Landhelgisgæslunnar til Reykjanesbæjar;Ekki útrætt á 146. þingi. (Var í nefnd eftir fyrri umræðu.);0:09:00;
136;stytting biðlista;Fyrirspurninni var svarað skriflega.;;
137;radíókerfi og fjarskiptakerfi;Fyrirspurninni var svarað munnlega.;;
138;fjármagnstekjur einstaklinga;Fyrirspurninni var svarað skriflega.;;
139;starfsumhverfi bókaútgáfu;Fyrirspurninni var svarað munnlega.;;
140;yfirferð kosningalaga;Fyrirspurninni var svarað munnlega.;;
141;úthaldsdagar Landhelgisgæslunnar;Fyrirspurninni var svarað skriflega.;;
142;almenningssamgöngur;Fyrirspurninni var svarað munnlega.;;
143;húsnæði Listaháskóla Íslands;Ekki útrætt á 146. þingi. (Var í nefnd eftir fyrri umræðu.);;
144;fjölmiðlar;Ekki útrætt á 146. þingi. (Var í nefnd eftir 1. umræðu.);;
145;könnun á gæðum skólamáltíða í leik- og grunnskólum;Ekki útrætt á 146. þingi. (Beið fyrri umræðu.);;
146;orkuskipti;Samþykkt sem ályktun Alþingis.;7:55:00;
147;kjör öryrkja;;;
148;meginþættir í störfum fjármálastöðugleikaráðs 2016;;;
149;ívilnanir til nýfjárfestinga á Íslandi;Ekki útrætt á 146. þingi. (Beið 1. umræðu.);;
150;almannatryggingar;Samþykkt sem lög frá Alþingi.;3:45:00;
151;húsnæði ríkisstofnana;Fyrirspurninni var svarað skriflega.;;
152;óundirbúinn fyrirspurnatími;;;
153;einkarekstur í heilbrigðisþjónustu;;;
154;stefnumótun um einkavæðingu í heilbrigðisþjónustu;;;
155;raforkukostnaður garðyrkjubænda;;;
156;einkarekin sjúkrahússþjónusta;;0:25:00;
157;könnun á hagkvæmni lestarsamgangna;;;
158;óundirbúinn fyrirspurnatími;;;
159;framlagning tveggja skýrslna;;;
160;breytingar á Dyflinnarreglugerðinni;;;
161;sjómannadeilan;;;
162;dráttur á birtingu tveggja skýrslna;;;
163;málefni innanlandsflugvalla;;;
164;Landsvirkjun;Fyrirspurninni var svarað skriflega.;;
165;verklag við opinber fjármál;;;
166;ríkisjarðir;Fyrirspurninni var svarað skriflega.;;
167;málsmeðferð hælisleitenda samkvæmt Dyflinnarreglugerðinni;Fyrirspurninni var svarað skriflega.;;
168;gerð samnings um vegabréfsáritanafrelsi við Kósóvó;Fyrirspurninni var svarað munnlega.;;
169;valfrjáls bókun við samning Sameinuðu þjóðanna gegn pyndingum (OPCAT);Fyrirspurninni var svarað munnlega.;;
170;valfrjáls bókun við samning Sameinuðu þjóðanna gegn pyndingum (OPCAT);Fyrirspurnin var kölluð aftur.;;
171;heilsugæslan í landinu;;;
172;úrskurðir um umgengni barna við umgengnisforeldra;Fyrirspurninni var svarað skriflega.;;
173;framlagning frumvarpa er varða upplýsinga- og tjáningarfrelsi;Fyrirspurninni var svarað skriflega.;;
174;framhaldsskólar;Ekki útrætt á 146. þingi. (Beið 1. umræðu.);;
175;skil á skýrslu um eignir Íslendinga á aflandssvæðum;;0:05:00;
176;stjórn fiskveiða;Ekki útrætt á 146. þingi. (Var í nefnd eftir 1. umræðu.);0:05:00;
177;fullgilding fríverslunarsamnings milli EFTA-ríkjanna og Georgíu;Samþykkt sem ályktun Alþingis.;0:25:00;
178;æskulýðsmál;Fyrirspurninni var svarað skriflega.;;
179;Alexandersflugvöllur;Fyrirspurninni var svarað munnlega.;;
180;óundirbúinn fyrirspurnatími;;;
181;heilbrigðisáætlun og hjúkrunarheimili;;;
182;viðbrögð við skýrslu um Kópavogshæli;;;
183;stefnumörkun í fiskeldi;;;
184;ívilnandi samningar vegna mengandi stóriðju;;;
185;reglur um atvinnuleysisbætur;;;
186;starfsemi Nýsköpunarmiðstöðvar Íslands á landsbyggðinni;Fyrirspurninni var svarað skriflega.;;
187;hamfarasjóður;Fyrirspurninni var svarað munnlega.;;
188;rekstur innanlandsflugvalla;Fyrirspurninni var svarað skriflega.;;
189;kjararáð;Ekki útrætt á 146. þingi. (Var í nefnd eftir 1. umræðu.);;
190;kosningar til sveitarstjórna;Ekki útrætt á 146. þingi. (Var í nefnd eftir 1. umræðu.);;
191;óundirbúinn fyrirspurnatími;;;
192;fjárframlög í samgöngumál;;;
193;stuðningur við ríkisstjórnina;;;
194;kynjahalli í dómskerfinu;;;
195;úrskurður kjararáðs og komandi kjarasamningar;;;
196;brottvísun bresks ríkisborgara á leið til Bandaríkjanna;;;
197;húsnæðismál;Fyrirspurninni var svarað skriflega.;;
198;skýrsla um niðurfærslu verðtryggðra fasteignalána;;;
199;skil á skýrslu um eignir Íslendinga á aflandssvæðum;;1:37:00;
200;mótun klasastefnu;Ekki útrætt á 146. þingi. (Beið fyrri umræðu.);;
201;uppsögn samkomulags við þjóðkirkjuna um kirkjujarðir o.fl. frá 1997;Ekki útrætt á 146. þingi. (Beið fyrri umræðu.);;
202;þingsköp Alþingis;Ekki útrætt á 146. þingi. (Var í nefnd eftir 1. umræðu.);;
203;kosningar til Alþingis;Ekki útrætt á 146. þingi. (Beið 1. umræðu.);;
204;Umhverfisstofnun;Ekki útrætt á 146. þingi. (Var í nefnd eftir 1. umræðu.);2:11:00;
205;staða og stefna í loftslagsmálum;;;
206;fyrirhugaður flutningur á aðsetri Hafrannsóknastofnunar -- ráðgjafarstofnunar hafs og vatna;;;
207;áætlun um vernd og orkunýtingu landsvæða;Ekki útrætt á 146. þingi. (Var í nefnd eftir fyrri umræðu.);1:25:00;
208;kosningar til Alþingis;Ekki útrætt á 146. þingi. (Beið 1. umræðu.);;
209;matvælaframleiðsla og matvælaöryggi;;;
210;kærur um ofbeldi gegn börnum;Fyrirspurninni var svarað skriflega.;;
211;kærur um kynferðisbrot;Fyrirspurninni var svarað skriflega.;;
212;mótun stefnu og framkvæmdaáætlunar um ferðamannaleiðir á Vestfjörðum;Ekki útrætt á 146. þingi. (Beið fyrri umræðu.);;
213;mótun stefnu stjórnvalda um flokkun, vernd og skráningu ræktunarlands;Ekki útrætt á 146. þingi. (Beið fyrri umræðu.);;
214;tíðni kynsjúkdóma hjá börnum og ungmennum;Fyrirspurninni var svarað skriflega.;;
215;þjónustu- og þekkingarmiðstöð fyrir blinda, sjónskerta og daufblinda einstaklinga;Ekki útrætt á 146. þingi. (Var í nefnd eftir 1. umræðu.);;
216;óundirbúinn fyrirspurnatími;;1:11:00;
217;aðgerðir gegn skattundanskotum og aflandsfélögum;;1:15:00;
218;aðkoma ráðherra að lausn sjómannaverkfallsins;;;
219;rekstrarvandi hjúkrunarheimila;;;
220;kostnaður við ný krabbameinslyf;;;
221;virðisaukaskattur af íþrótta- og æskulýðsstarfi;;;
222;millilandaflug um Hornafjarðarflugvöll;Ekki útrætt á 146. þingi. (Var í nefnd eftir fyrri umræðu.);;
223;samgöngur á höfuðborgarsvæðinu;;;
224;staðan í ferðamálum - leiðir til gjaldtöku og skipting tekna;;;
225;greiðslur og millifærslur fjárheimilda;Fyrirspurninni var svarað skriflega.;;
226;húsnæðisbætur;Fyrirspurninni var svarað munnlega.;;
227;stefna um uppbyggingu flutningskerfis raforku;Fyrirspurninni var svarað munnlega.;;
228;skuldastaða heimilanna og fasteignaverð;Fyrirspurninni var svarað skriflega.;;
229;aðgerðir á kvennadeildum;Fyrirspurninni var svarað munnlega.;;
230;heilbrigðisáætlun;Fyrirspurninni var svarað munnlega.;;
231;lyfjaskráning;Fyrirspurninni var svarað munnlega.;;
232;stuðningur við fráveituframkvæmdir;Fyrirspurninni var svarað skriflega.;;
233;æskulýðsmál og samfélagsþátttaka ungs fólks á Íslandi;;;
234;breyting á ýmsum lögum á sviði samgangna;Samþykkt sem lög frá Alþingi.;2:10:00;
235;vopnalög;Samþykkt sem lög frá Alþingi.;2:09:00;
236;útlendingar;Samþykkt sem lög frá Alþingi.;1:31:00;
237;hlutafélög o.fl.;Samþykkt sem lög frá Alþingi.;1:42:00;
238;inn- og útskattur hótela og gistiheimila;Fyrirspurninni var svarað skriflega.;;
239;óundirbúinn fyrirspurnatími;;;
240;sala á Arion banka;;;
241;breyting á lögum um almannatryggingar;;;
242;dýraheilbrigði og innflutningur á hráu kjöti;;;
243;samgöngumál í Reykjavík;;;
244;breytingar á námslánakerfinu;;;
245;utankjörfundaratkvæði;Fyrirspurninni var svarað skriflega.;;
246;eigandastefna ríkisins í fjármálafyrirtækjum;;;
247;skattrannsókn á grundvelli keyptra gagna;Fyrirspurninni var svarað skriflega.;;
248;valdheimildir Umhverfisstofnunar og Heilbrigðiseftirlitsins í ljósi fregna af fráveitumálum í Mývatnssveit;Fyrirspurninni var svarað skriflega.;;
249;ráðstöfunartekjur aldraðra og öryrkja;Fyrirspurninni var svarað skriflega.;;
250;auðlindarenta raforkufyrirtækja;Fyrirspurninni var svarað skriflega.;;
251;stærðarálag á veiðigjald;Fyrirspurninni var svarað skriflega.;;
252;sérstakar fjáröflunarráðstafanir í vegamálum;Ekki útrætt á 146. þingi. (Beið 1. umræðu.);;
253;lífræn ræktun;Fyrirspurninni var svarað munnlega.;;
254;nám í máltækni;Fyrirspurninni var svarað munnlega.;;
255;notkun geðlyfja og svefnlyfja á hjúkrunarheimilum;Fyrirspurninni var svarað skriflega.;;
256;framkvæmd landamæraeftirlits o.fl.;Fyrirspurninni var svarað skriflega.;;
257;innleiðing barnasáttmála Sameinuðu þjóðanna;;;
258;kosningar til sveitarstjórna;Vísað til ríkisstjórnar.;0:40:00;
259;fósturbörn;Fyrirspurninni var svarað skriflega.;;
260;langveik börn;Fyrirspurninni var svarað skriflega.;;
261;innflutningur á hráu kjöti;Fyrirspurninni var svarað skriflega.;;
262;samræmd könnunarpróf og Menntamálastofnun;Fyrirspurninni var svarað skriflega.;;
263;fullgilding fríverslunarsamnings milli EFTA-ríkjanna og Filippseyja;Ekki útrætt á 146. þingi. (Beið síðari umræðu.);1:10:00;
264;ákvörðun sameiginlegu EES-nefndarinnar nr. 92/2016 um breytingu á XI. viðauka við EES-samninginn;Samþykkt sem ályktun Alþingis.;;
265;ákvörðun sameiginlegu EES-nefndarinnar nr. 46/2016 um breytingu á II. viðauka við EES-samninginn;Samþykkt sem ályktun Alþingis.;1:01:00;
266;eigendastefna Landsvirkjunar;Fyrirspurninni var svarað skriflega.;;
267;orkuöryggi heimila og minni fyrirtækja;Fyrirspurninni var svarað skriflega.;;
268;framtíðarsýn í heilbrigðismálum;;;
269;friðlýsing Íslands fyrir kjarnorkuvopnum og bann við umferð kjarnorkuknúinna farartækja;Ekki útrætt á 146. þingi. (Beið 1. umræðu.);;
270;óundirbúinn fyrirspurnatími;;;
271;kostnaður við breytingu á Stjórnarráðinu;;0:10:00;
272;samstarf við breytingar á lífeyrissjóðakerfinu;;5:05:00;
273;greiðsluþátttaka einstaklinga í heilbrigðiskerfinu;;;
274;ívilnandi samningar vegna mengandi stóriðju;;;
275;málefni Seðlabankans og losun hafta;;;
276;sálfræðiþjónusta í framhaldsskólum;Fyrirspurninni var svarað munnlega.;;
277;efling verk- og iðnnáms;Fyrirspurninni var svarað munnlega.;;
278;nýr hljóðvistarstaðall;Fyrirspurninni var svarað skriflega.;;
279;umhverfisáhrif og sjálfbærni byggingariðnaðar;Fyrirspurninni var svarað munnlega.;;
280;fjölpóstur;Fyrirspurninni var svarað skriflega.;;
281;förgun jarðvegsefna vegna byggingarframkvæmda;Fyrirspurninni var svarað skriflega.;;
282;ráðstafanir ríkislóða á höfuðborgarsvæðinu;Fyrirspurninni var svarað skriflega.;;
283;baunarækt;Fyrirspurninni var svarað skriflega.;;
284;fylgdarlaus börn sem sækja um alþjóðlega vernd;Fyrirspurninni var svarað skriflega.;;
285;uppbygging leiguíbúða;Ekki útrætt á 146. þingi. (Var í nefnd eftir fyrri umræðu.);;
286;endurskoðun á lagaumhverfi er varðar uppkaup á landi;Ekki útrætt á 146. þingi. (Beið fyrri umræðu.);;
287;skattafsláttur vegna kostnaðar við ferðir til og frá vinnu;Ekki útrætt á 146. þingi. (Beið fyrri umræðu.);;
288;endurskoðun verklagsreglna um skilarétt neytenda, gjafabréf og inneignarnótur;Ekki útrætt á 146. þingi. (Beið fyrri umræðu.);;
289;réttindi og skyldur starfsmanna ríkisins;Ekki útrætt á 146. þingi. (Var í nefnd eftir 1. umræðu.);;
290;tekjuskattur;Ekki útrætt á 146. þingi. (Beið 1. umræðu.);;
291;úrbætur í jafnréttismálum;Fyrirspurninni var svarað skriflega.;;
292;fræbanki;Fyrirspurninni var svarað skriflega.;;
293;olíuleit og -vinnsla á Drekasvæðinu;Fyrirspurninni var svarað skriflega.;;
294;fæðuöryggi;Fyrirspurninni var svarað skriflega.;;
295;skýrsla um könnun á vistun barna á Kópavogshæli;;;
296;matvælaframleiðsla og loftslagsmál;;;
297;takmarkanir á tjáningarfrelsi;Fyrirspurninni var svarað munnlega.;;
298;endómetríósa;Fyrirspurninni var svarað munnlega.;;
299;óundirbúinn fyrirspurnatími;;;
300;samgönguáætlun;;;
301;aðgerðaáætlun í geðheilbrigðismálum;;;
302;einkarekstur í heilbrigðisþjónustu;;;
303;Brexit, EFTA og hagsmunir Íslands;;;
304;fjárheimildir í heilbrigðismálum;;;
305;rannsóknarsetur um utanríkis- og öryggismál;Fyrirspurninni var svarað munnlega.;;
306;tekjustofnar sveitarfélaga;Samþykkt sem lög frá Alþingi.;3:10:00;
307;umferðarlög;Samþykkt sem lög frá Alþingi.;0:21:00;
308;Evrópuráðsþingið 2016;;;
309;Fríverslunarsamtök Evrópu og Evrópska efnahagssvæðið 2016;;;
310;tekjuskattur;Ekki útrætt á 146. þingi. (Beið 1. umræðu.);;
311;búsetuskerðingar almannatrygginga;Fyrirspurninni var svarað munnlega.;;
312;endurskoðendur;Samþykkt sem lög frá Alþingi.;1:59:00;
313;staða fanga;;;
314;selastofnar við Ísland;Fyrirspurninni var svarað skriflega.;;
315;stóriðja;Fyrirspurninni var svarað skriflega.;;
316;tækni og gervigreind;Fyrirspurnin var kölluð aftur.;;
317;úthaldsdagar Hafrannsóknastofnunar;Fyrirspurninni var svarað skriflega.;;
318;menntamál og stefnuyfirlýsing ríkisstjórnarinnar;;;
319;framtíðarsýn fyrir skapandi greinar;;;
320;skilyrðislaus grunnframfærsla;Ekki útrætt á 146. þingi. (Beið fyrri umræðu.);;
321;norðurskautsmál 2016;;;
322;NATO-þingið 2016;;;
323;óundirbúinn fyrirspurnatími;;;
324;orð ráðherra um fjármögnun samgönguáætlunar;;;
325;framkvæmdir við flughlað á Akureyrarflugvelli;;;
326;afnám hafta;;;
327;stefna um þróun bankakerfisins;;;
328;markaðar tekjur ríkissjóðs;;;
329;gjaldeyrisútboð og afnám gjaldeyrishafta;Fyrirspurninni var svarað skriflega.;;
330;aðgangsstýring í ferðaþjónustu;;;
331;fríverslunarsamningar;;0:01:00;
332;virðisaukaskattur;Ekki útrætt á 146. þingi. (Beið 1. umræðu.);;
333;meðhöndlun úrgangs og ráðstafanir gegn umhverfismengun af völdum einnota umbúða fyrir drykkjarvörur;Samþykkt sem lög frá Alþingi.;1:19:00;
334;óundirbúinn fyrirspurnatími;;;
335;sala Arion banka;;;
336;áform um sölu á hlut ríkisins í Íslandsbanka og Landsbanka;;;
337;samskipti ríkisins við vogunarsjóði;;;
338;fátækt á Íslandi;;;
339;tjáningarfrelsi;;;
340;sjókvíaeldi og vernd villtra laxfiska;Fyrirspurninni var svarað skriflega.;;
341;áherslur í skipulagi haf- og strandsvæða;;;
342;skipun ráðgjafarnefnda heilbrigðisumdæma;Fyrirspurninni var svarað skriflega.;;
