málsnúmer;málsheiti;staða máls;heildartími;nefndir
70;framkvæmd þingsályktunar um flug til Grænlands;Fyrirspurninni var svarað munnlega.;;
71;greiðsla fasteignagjalda til sveitarfélaga;Fyrirspurnin var felld niður vegna ráðherraskipta.;;
72;niðurfærsla lána til almennings;Fyrirspurninni var svarað skriflega.;;
73;endurupptaka mála fyrir Hæstarétti;Fyrirspurninni var svarað skriflega.;;
74;ESB-aðild og framkvæmd ríkisfjármálastefnu;;;
75;hækkun á virðisaukaskatti í ferðaþjónustu;;;
76;atvinnumál;;;
77;gjaldeyrisviðskipti;;;
78;þróun vaxtakostnaðar húsnæðislána;Fyrirspurnin var felld niður vegna ráðherraskipta.;;
79;Hagavatnsvirkjun;Ekki útrætt á 141. þingi. (Beið fyrri umræðu.);;
80;málefni barna og ungmenna með tal- og málþroskaröskun;Samþykkt sem ályktun Alþingis.;;
81;jöfnun húshitunarkostnaðar og flutningskostnaðar á raforku á landsvísu;Ekki útrætt á 141. þingi. (Var í nefnd eftir fyrri umræðu.);;
82;fæðingar- og foreldraorlof;Ekki útrætt á 141. þingi. (Beið 1. umræðu.);;
83;gagnger endurskoðun á skipulagi og forsendum hvalveiða;Ekki útrætt á 141. þingi. (Var í nefnd eftir fyrri umræðu.);;
84;breytt framtíðarskipan refaveiða á Íslandi;Ekki útrætt á 141. þingi. (Var í nefnd eftir fyrri umræðu.);;
85;orlof;Ekki útrætt á 141. þingi. (Beið 1. umræðu.);;
86;virðisaukaskattur;Ekki útrætt á 141. þingi. (Beið 1. umræðu.);;
87;mat á umhverfisáhrifum;Ekki útrætt á 141. þingi. Beið 2. umræðu;;
88;efnalög;Samþykkt sem lög frá Alþingi.;;
89;vernd og orkunýting landsvæða;Samþykkt sem ályktun Alþingis.;;
90;leyfisgjöld og frjáls og opinn hugbúnaður;Fyrirspurninni var svarað skriflega.;;
91;kostnaður við landsdómsmál gegn Geir H. Haarde;Fyrirspurninni var svarað skriflega.;;
92;öryggi greiðslufyrirmæla í greiðslukerfum;Samþykkt sem lög frá Alþingi.;;
93;bókhald;Samþykkt sem lög frá Alþingi.;;
94;ársreikningar;Samþykkt sem lög frá Alþingi.;;
95;lífeyristökualdur;Fyrirspurninni var svarað munnlega.;;
96;afturköllun umsóknar Íslands um aðild að Evrópusambandinu;Ekki útrætt á 141. þingi. (Beið fyrri umræðu.);;
97;ákvörðun EES-nefndarinnar nr. 101/2012 um breytingu á bókun 31 við EES-samninginn;Samþykkt sem ályktun Alþingis.;;
98;ákvörðun EES-nefndarinnar nr. 55/2012 um breytingu á XII. viðauka við EES-samninginn;Samþykkt sem ályktun Alþingis.;;
99;ákvörðun EES-nefndarinnar nr. 149/2012 um breytingu á XVIII. viðauka við EES-samninginn;Samþykkt sem ályktun Alþingis.;;
100;óundirbúinn fyrirspurnatími;;;
101;skattar og gjöld;Samþykkt sem lög frá Alþingi.;;
102;hlutafélög;Ekki útrætt á 141. þingi. (Var í nefnd eftir 1. umræðu.);;
103;innheimtulög;Ekki útrætt á 141. þingi. (Var í nefnd eftir 1. umræðu.);;
104;samgöngumiðstöð í Vatnsmýri;Fyrirspurninni var svarað munnlega.;;
105;skattafsláttur vegna kostnaðar við ferðir til og frá vinnu;Ekki útrætt á 141. þingi. (Var í nefnd eftir fyrri umræðu.);;
106;verðbréfasjóðir, fjárfestingarsjóðir og fagfjárfestasjóðir;Samþykkt sem lög frá Alþingi.;;
107;undirritun og fullgilding Íslands á samningum Evrópuráðsins;Fyrirspurninni var svarað skriflega.;;
108;tekjuskattur;Ekki útrætt á 141. þingi. (Beið 1. umræðu.);;
109;bókasafnalög;Samþykkt sem lög frá Alþingi.;;
110;bókmenntasjóður o.fl.;Samþykkt sem lög frá Alþingi.;;
