málsnúmer;málsheiti;staða máls;heildartími;nefndir
97;húsnæðismál Landspítalans;;;
98;gagnaver og gagnahýsing;;5:45:00;
99;hækkun virðisaukaskatts á ferðaþjónustu;;3:15:00;
100;framhaldsskólar;Ekki útrætt á 144. þingi. (Beið 1. umræðu.);;
101;athugun á hagkvæmni lestarsamgangna;Samþykkt sem ályktun Alþingis.;0:48:00;
102;óundirbúinn fyrirspurnatími;;3:27:00;
103;málefni Lánasjóðs íslenskra námsmanna;;0:19:00;
104;forgangsröðun í fjárlagafrumvarpinu;;;
105;lán Seðlabanka til Kaupþings 2008;;0:25:00;
106;niðurskurður til embættis sérstaks saksóknara;;0:20:00;
107;samningur við meðferðarheimilið Háholt;;3:50:00;
108;vangoldinn lífeyrir hjá TR;;0:00:00;
109;skattafsláttur vegna kostnaðar við ferðir til og frá vinnu;Ekki útrætt á 144. þingi. (Var í nefnd eftir fyrri umræðu.);;
110;landhelgi, efnahagslögsaga og landgrunn;Ekki útrætt á 144. þingi. (Var í nefnd eftir 1. umræðu.);;
111;fjárhagsaðstoð til greiðslu tryggingar fyrir kostnaði vegna gjaldþrotaskipta;Fyrirspurninni var svarað skriflega.;;
112;veiðigjöld;Fyrirspurninni var svarað skriflega.;;
113;uppbygging Vestfjarðavegar;Fyrirspurninni var svarað munnlega.;;
114;sending sönnunargagna með tölvupósti;Fyrirspurninni var svarað skriflega.;;
115;aðgengi handhafa rannsóknarheimilda að upplýsingum;Fyrirspurninni var svarað skriflega.;;
116;ástæður hlerana frá ársbyrjun 2008;Fyrirspurninni var svarað skriflega.;;
117;mæling á gagnamagni í internetþjónustu;Fyrirspurninni var svarað skriflega.;;
118;umferðaröryggismál;;;
119;haldlagning netþjóna;Fyrirspurninni var svarað skriflega.;;
120;vátryggingarsamningar;Samþykkt sem lög frá Alþingi.;2:00:00;
121;millilandaflug um Vestmannaeyjaflugvöll og Ísafjarðarflugvöll;Ekki útrætt á 144. þingi. (Var í nefnd eftir fyrri umræðu.);0:01:00;
122;efling virkniúrræða fyrir atvinnuleitendur;Ekki útrætt á 144. þingi. (Var í nefnd eftir fyrri umræðu.);1:25:00;
123;bætt starfsumhverfi erlendra sérfræðinga;Ekki útrætt á 144. þingi. (Var í nefnd eftir fyrri umræðu.);;
124;virðisaukaskattsgreiðslur einstaklinga;Fyrirspurninni var svarað skriflega.;;
125;veikleikar í framkvæmd fjárlaga fyrir árið 2014;;;
126;þjóðarvá vegna lífsstílstengdra sjúkdóma barna og unglinga;;;
127;óundirbúinn fyrirspurnatími;;0:26:00;
128;samkeppni í mjólkuriðnaði;;;
129;fæðispeningar fanga;Fyrirspurninni var svarað skriflega.;;
130;gjafir til ríkisstofnana;Fyrirspurninni var svarað skriflega.;;
131;fulltrúar ríkisins á erlendum vettvangi;Fyrirspurninni var svarað skriflega.;;
132;aðgengi fatlaðs fólks að opinberum byggingum;Fyrirspurninni var svarað skriflega.;;
133;breyting á reglugerð um línuívilnun;;;
134;línuívilnun;;;
135;raforkustrengur til Evrópu;;;
136;innflutningsbann á hráu kjöti;;;
137;ummæli ráðherra í Kastljósi;;;
138;framlög ríkisaðila til félagasamtaka;Fyrirspurninni var svarað skriflega.;;
139;framlög ríkisaðila til félagasamtaka;Fyrirspurninni var svarað skriflega.;;
140;framlög ríkisaðila til félagasamtaka;Fyrirspurninni var svarað skriflega.;;
141;framlög ríkisaðila til félagasamtaka;Fyrirspurninni var svarað skriflega.;;
142;framlög ríkisaðila til félagasamtaka;Fyrirspurninni var svarað skriflega.;;
143;framlög ríkisaðila til félagasamtaka;Fyrirspurninni var svarað skriflega.;;
144;óundirbúinn fyrirspurnatími;;;
145;menntun áfengis- og vímuefnaráðgjafa;Fyrirspurninni var svarað skriflega.;;
146;úthlutun menningarstyrkja;;;
147;notkun plöntu-, sveppa- og skordýraeiturs;Fyrirspurninni var svarað skriflega.;;
148;takmarkað aðgengi að framhaldsskólum;;;
149;óundirbúinn fyrirspurnatími;;;
150;staða verknáms;;;
151;neysluviðmið;;;
152;notkun á landsléninu .is;;;
153;LungA-skólinn;;;
154;höfundaréttur og hljóðbækur;;1:15:00;
155;framtíð umhverfisráðuneytisins;;;
156;söfnunarútsendingar í Ríkisútvarpinu;Fyrirspurninni var svarað skriflega.;;
157;vegalög;Samþykkt sem lög frá Alþingi.;1:55:00;
158;veitingastaðir, gististaðir og skemmtanahald;Samþykkt sem lög frá Alþingi.;0:10:00;
159;umboðsmaður skuldara;Samþykkt sem lög frá Alþingi.;1:01:00;
160;greiðslur í tengslum við störf rannsóknarnefndar Alþingis um Íbúðalánasjóð o.fl.;Fyrirspurninni var svarað skriflega.;;
161;greiðslur í tengslum við störf rannsóknarnefndar Alþingis um fall íslensku bankanna 2008;Fyrirspurninni var svarað skriflega.;;
162;greiðslur í tengslum við störf rannsóknarnefndar Alþingis um fall sparisjóðanna;Fyrirspurninni var svarað skriflega.;;
163;líffæraígræðsla;Fyrirspurninni var svarað skriflega.;;
164;þjónustusamningur um líffæri;Fyrirspurninni var svarað skriflega.;;
165;líffæragjafar;Fyrirspurninni var svarað skriflega.;;
166;plastpokanotkun;Samþykkt sem ályktun Alþingis.;0:14:00;
167;endurskoðun lagaákvæða um notkun þjóðfánans;Fyrirspurninni var svarað skriflega.;;
168;framkvæmd skuldaleiðréttingar;;;
169;útkoma landsbyggðarinnar í fjárlagafrumvarpinu;;1:37:00;
170;málefni Landspítalans;;;
171;hagur heimilanna;;;
172;eftirlit með hvalveiðum;Fyrirspurninni var svarað skriflega.;;
173;landvarsla;Fyrirspurninni var svarað skriflega.;;
174;uppsagnir og fæðingarorlof;Fyrirspurninni var svarað munnlega.;;
175;rekstrarkostnaður Sjúkratrygginga Íslands;Fyrirspurninni var svarað skriflega.;;
176;sérhæfður íþróttabúnaður fyrir fatlaða íþróttamenn;Fyrirspurninni var svarað skriflega.;;
177;óundirbúinn fyrirspurnatími;;;
178;fækkun nemendaígilda í framhaldsskólum;;;
179;losun gjaldeyrishafta;;;
180;menningarsamningar landshlutasamtakanna;;;
181;tillögur nýrrar stjórnarskrárnefndar;;;
182;endurskoðun tvísköttunarsamninga;;;
183;lagaskrifstofa Alþingis;Ekki útrætt á 144. þingi. (Beið 1. umræðu.);;
184;skilgreining auðlinda;Ekki útrætt á 144. þingi. (Var í nefnd eftir fyrri umræðu.);;
185;skilyrðislaus grunnframfærsla;Ekki útrætt á 144. þingi. (Beið fyrri umræðu.);;
186;fullgilding bókunar við samning Sameinuðu þjóðanna gegn pyndingum (OPCAT);Ekki útrætt á 144. þingi. (Beið síðari umræðu.);5:31:00;
187;græna hagkerfið;Fyrirspurninni var svarað skriflega.;;
188;menntun íslenskra mjólkurfræðinga;Fyrirspurninni var svarað munnlega.;;
189;framkvæmd á samningi um gjaldfrjálsar tannlækningar barna;Fyrirspurninni var svarað skriflega.;;
190;ráðningar starfsmanna forsætisráðuneytisins;Fyrirspurninni var svarað skriflega.;;
191;ráðningar starfsmanna fjármála- og efnahagsráðuneytisins;Fyrirspurninni var svarað skriflega.;;
192;ráðningar starfsmanna utanríkisráðuneytisins;Fyrirspurninni var svarað skriflega.;;
193;ráðningar starfsmanna innanríkisráðuneytisins;Fyrirspurninni var svarað skriflega.;;
194;ráðningar starfsmanna velferðarráðuneytisins;Fyrirspurninni var svarað skriflega.;;
195;staða barnaverndar í landinu;;;
196;ráðningar starfsmanna atvinnuvega- og nýsköpunarráðuneytisins;Fyrirspurninni var svarað skriflega.;;
197;óundirbúinn fyrirspurnatími;;;
198;fjárhagsstaða RÚV;;;
199;hækkun tollkvóta inn á markaði Evrópusambandsins;Fyrirspurninni var svarað munnlega.;;
200;innflutningur á grænlensku kjöti;Fyrirspurninni var svarað munnlega.;;
201;rannsóknir á fiskstofnum á miðsævisteppinu milli Íslands og Grænlands;Fyrirspurninni var svarað munnlega.;;
202;fósturgreiningar;Fyrirspurninni var svarað skriflega.;;
203;raforkustrengur til Evrópu;;;
204;stytting tímabils atvinnuleysisbóta;;;
205;dómur Mannréttindadómstólsins í máli blaðamanns;;;
206;verndun friðhelgi einkalífsins í stafrænum miðlum;;1 day, 18:27:00;
207;kostnaður vegna gjaldþrotaskipta;;5:42:00;
208;sala fasteigna og skipa;Samþykkt sem lög frá Alþingi.;3:40:00;
209;bætt hljóðvist og aðgerðir til að draga úr erilshávaða í kennsluhúsnæði;Ekki útrætt á 144. þingi. (Var í nefnd eftir fyrri umræðu.);0:03:00;
210;lögbinding lágmarkslauna;Ekki útrætt á 144. þingi. (Beið 1. umræðu.);;
211;húsaleigubætur;Ekki útrætt á 144. þingi. (Var í nefnd eftir 1. umræðu.);0:48:00;
212;krabbameinsáætlun;Fyrirspurninni var svarað skriflega.;;
213;staða kvenna á vinnumarkaði;;;
214;óundirbúinn fyrirspurnatími;;3:33:00;
215;umferðareftirlit;Fyrirspurninni var svarað skriflega.;;
216;háhraðanettengingar í dreifbýli;Ekki útrætt á 144. þingi. (Beið fyrri umræðu.);;
217;strandveiðiferðamennska;Ekki útrætt á 144. þingi. (Beið fyrri umræðu.);;
218;samhæfð framkvæmd stjórnvalda við að tryggja skilvirk úrræði fyrir þolendur kynferðisbrota;Fyrirspurnin var felld niður vegna ráðherraskipta.;;
219;samhæfð framkvæmd stjórnvalda við að tryggja skilvirk úrræði fyrir þolendur kynferðisbrota;Fyrirspurninni var svarað skriflega.;;
220;kjaramál lækna;;;
221;húsnæðismál Landspítalans;;;
222;heilbrigðismál;;;
223;eftirlit með lögreglu;;;
224;afnám verðtryggingar;;;
225;lóðir fyrir trú- og lífsskoðunarfélög;Fyrirspurninni var svarað skriflega.;;
226;skipun sendiherra;Fyrirspurninni var svarað munnlega.;;
227;Húsavíkurflugvöllur;Fyrirspurninni var svarað munnlega.;;
228;framhaldsskólar;Fyrirspurninni var svarað munnlega.;;
229;brotthvarf Vísis frá Húsavík;Fyrirspurninni var svarað munnlega.;;
230;framhaldsfræðsla;Fyrirspurninni var svarað skriflega.;;
231;lönd og veiðiréttur Landsvirkjunar við Þingvallavatn, Efra-Sog og Úlfljótsvatn;Fyrirspurninni var svarað skriflega.;;
232;fráveitumál;Fyrirspurninni var svarað munnlega.;;
233;starfsstöðvar og þjónusta sýslumanna í Norðausturkjördæmi;Fyrirspurninni var svarað munnlega.;;
234;starfsstöðvar lögreglustjóra í Norðausturkjördæmi;Fyrirspurninni var svarað munnlega.;;
235;fjöldi nemenda í framhaldskólum;Fyrirspurninni var svarað skriflega.;;
236;mat á umhverfisáhrifum;Ekki útrætt á 144. þingi. (Beið 1. umræðu.);;
237;húsaleigubætur;Ekki útrætt á 144. þingi. (Var í nefnd eftir 1. umræðu.);0:01:00;
238;aukinn stuðningur vegna tæknifrjóvgana;Ekki útrætt á 144. þingi. (Var í nefnd eftir fyrri umræðu.);;
239;svæðisbundnir fjölmiðlar;Ekki útrætt á 144. þingi. (Beið fyrri umræðu.);;
240;óundirbúinn fyrirspurnatími;;1:43:00;
241;verkfall lækna;;;
242;loftslagsmál;;3:26:00;
243;mál stjórnarformanns Fjármálaeftirlitsins;;1:00:00;
244;starfsemi Aflsins og fleiri samtaka;;1 day, 2:42:00;
245;fjárframlög til rannsókna kynferðisbrota;;;
246;fjármagn til verkefna sem ákveðin eru með þingsályktunum;;;
247;hjúkrunarheimilið Eyri á Ísafirði;;;
248;öldrunarstofnanir;Fyrirspurninni var svarað skriflega.;;
249;óundirbúinn fyrirspurnatími;;;
250;könnun á réttarstöðu með tilliti til gjaldtöku við náttúruvætti;Ekki útrætt á 144. þingi. (Beið fyrri umræðu.);;
251;tollalög;Ekki útrætt á 144. þingi. (Var í nefnd eftir 1. umræðu.);0:23:00;
252;innleiðing notendastýrðrar persónulegrar aðstoðar;Fyrirspurninni var svarað skriflega.;;
253;ríkisborgararéttur erlendra maka;Fyrirspurninni var svarað skriflega.;;
254;húsnæðismál Landspítalans;;;
255;skuldaleiðréttingaraðgerðir;;;
256;leiðrétting á forsendubresti heimilanna;;;
257;aðgengi að upplýsingum;;6:57:00;
258;skuldaleiðrétting ríkisstjórnarinnar;;;
259;40 stunda vinnuvika;Ekki útrætt á 144. þingi. (Beið 1. umræðu.);;
260;könnun á framkvæmd EES-samningsins;Ekki útrætt á 144. þingi. (Beið fyrri umræðu.);;
261;vinna til úrbóta á lagaumhverfi, reglum og framkvæmd nauðungarvistunar;Fyrirspurnin var felld niður vegna ráðherraskipta.;;
262;mótvægisaðgerðir vegna hugsanlegs gengisfalls íslensku krónunnar;Fyrirspurninni var svarað munnlega.;;
263;lánveitingar Lánasjóðs íslenskra námsmanna til skólagjaldalána;Fyrirspurninni var svarað skriflega.;;
264;Strandavegur nr. 643;Fyrirspurninni var svarað skriflega.;;
265;framkvæmdir í Patreksfjarðarhöfn;Fyrirspurninni var svarað skriflega.;;
266;greiðsluþátttökukerfi í lyfjakostnaði;Fyrirspurninni var svarað skriflega.;;
267;S-merkt lyf;Fyrirspurninni var svarað skriflega.;;
268;ríkisframlag til Helguvíkurhafnar;Fyrirspurnin var felld niður vegna ráðherraskipta.;;
269;óundirbúinn fyrirspurnatími;;;
270;bið eftir afplánun;Fyrirspurninni var svarað skriflega.;;
271;notkun hlífðarhjálms við hjólreiðar;Fyrirspurninni var svarað skriflega.;;
272;upplýsingalög;Ekki útrætt á 144. þingi. (Var í nefnd eftir 1. umræðu.);;
273;greiðslur úr ríkissjóði til lækkunar höfuðstóls verðtryggðra fasteignalána eða fasteignaveðlána;Fyrirspurninni var svarað skriflega.;;
274;endurskoðun stjórnarskrár lýðveldisins Íslands;Ekki útrætt á 144. þingi. (Var í nefnd eftir fyrri umræðu.);0:06:00;
275;kaupaukagreiðslur fjármálafyrirtækja;Fyrirspurninni var svarað skriflega.;;
276;stefna í lánamálum ríkisins;Fyrirspurninni var svarað skriflega.;;
277;aukin framlög til NATO;Fyrirspurninni var svarað skriflega.;;
278;sala á Ríkisútvarpinu eða einstökum eignum þess;Fyrirspurninni var svarað skriflega.;;
279;verðtryggð og óverðtryggð húsnæðislán;Fyrirspurninni var svarað skriflega.;;
280;málefni tónlistarmenntunar;;;
281;afnám verðtryggingar;;;
282;leiðrétting til fólks á leigumarkaði;;;
283;fjárframlög til háskóla;;;
284;Túlkasjóður;;;
285;framkvæmd þingsályktunar um tjáningar- og upplýsingafrelsi;;;
286;flutningur stofnana;Fyrirspurninni var svarað skriflega.;;
287;flutningur stofnana;Fyrirspurninni var svarað skriflega.;;
288;flutningur stofnana;Fyrirspurninni var svarað skriflega.;;
289;flutningur stofnana;Fyrirspurninni var svarað skriflega.;;
290;flutningur stofnana;Fyrirspurninni var svarað skriflega.;;
291;loftmengun;Fyrirspurnin var felld niður vegna ráðherraskipta.;;
292;óundirbúinn fyrirspurnatími;;;
293;fjöldi opinberra starfa;Fyrirspurninni var svarað skriflega.;;
294;fjöldi opinberra starfa;Fyrirspurninni var svarað skriflega.;;
295;skuldaleiðrétting og staða ríkissjóðs;;;
296;fjöldi opinberra starfa;Fyrirspurninni var svarað skriflega.;;
297;verkfall lækna;;;
298;rekstrarhalli Landspítalans;;;
299;hækkun virðisaukaskatts á matvæli;;;
300;innflutningur á hrefnukjöti;;;
301;hækkun taxta sérgreinalækna;;;
302;fjöldi opinberra starfa;Fyrirspurninni var svarað skriflega.;;
303;fjöldi opinberra starfa;Fyrirspurninni var svarað skriflega.;;
304;tekjuskattur;Ekki útrætt á 144. þingi. (Beið 1. umræðu.);;
305;raforkulög;Samþykkt sem lög frá Alþingi.;8:30:00;
306;tekjuskattur;Ekki útrætt á 144. þingi. (Beið 1. umræðu.);;
307;ríkisendurskoðandi og endurskoðun ríkisreikninga;Ekki útrætt á 144. þingi. (Var í nefnd eftir 1. umræðu.);4:07:00;
308;sóknaráætlun vegna lista, menningar og nýsköpunar;Fyrirspurninni var svarað skriflega.;;
309;vinnustaðanámssjóður;Fyrirspurninni var svarað skriflega.;;
310;framkvæmd þingsályktunar um bætta heilbrigðisþjónustu við ungt fólk;Fyrirspurninni var svarað skriflega.;;
311;flutningur heilbrigðisþjónustu til sveitarfélaga;Fyrirspurninni var svarað munnlega.;;
312;uppbygging hjúkrunarheimila;Fyrirspurninni var svarað munnlega.;;
313;framlög til rannsókna í þágu ferðaþjónustu og iðnaðar;Fyrirspurninni var svarað skriflega.;;
314;plastúrgangur;Fyrirspurninni var svarað skriflega.;;
315;varðveisla gagna sem tengjast stjórnlagaráði;Fyrirspurninni var svarað skriflega.;;
316;óundirbúinn fyrirspurnatími;;;
317;ástandið í heilbrigðismálum;;;
318;staða upplýsingafrelsis á Íslandi;;;
319;útboð á verkefnum ríkisstarfsmanna;;;
320;rekstrarvandi Landspítalans;;;
321;fjarvinnsluverkefni fyrir skjalasöfn;;16:59:00;
322;almannatryggingar;Samþykkt sem lög frá Alþingi.;11:53:00;
323;sala ríkiseigna, lækkun skulda ríkissjóðs og fjárfesting í innviðum;Ekki útrætt á 144. þingi. (Beið fyrri umræðu.);;
324;opinber störf á landsbyggðinni;Fyrirspurninni var svarað skriflega.;;
325;óundirbúinn fyrirspurnatími;;;
326;áhrif þingmála á fjárhag sveitarfélaga;Fyrirspurninni var svarað skriflega.;;
327;opnun sendibréfa;Fyrirspurninni var svarað skriflega.;;
328;þróunarsamvinna;;;
329;breytingar á virðisaukaskatti;;;
330;upplýsingar um skattaskjól;;;
331;verkefnisstjórn rammaáætlunar;;;
332;skilgreining grunnþjónustu heilbrigðiskerfisins;;;
333;áætlun um afnám gjaldeyrishafta;;;
334;verkefnið Nám er vinnandi vegur;Fyrirspurninni var svarað skriflega.;;
335;æskulýðsstarf;Fyrirspurninni var svarað munnlega.;;
336;mjólkurfræði;Ekki útrætt á 144. þingi. (Var í nefnd eftir fyrri umræðu.);;
337;áhættumat vegna ferðamennsku;Ekki útrætt á 144. þingi. (Beið fyrri umræðu.);;
338;seinkun klukkunnar og bjartari morgnar;Ekki útrætt á 144. þingi. (Var í nefnd eftir fyrri umræðu.);1:43:00;
339;orlof húsmæðra;Ekki útrætt á 144. þingi. (Var í nefnd eftir 1. umræðu.);1:11:00;
340;ákvörðun EES-nefndarinnar nr. 173/2013 um breytingu á XX. viðauka við EES-samninginn;Samþykkt sem ályktun Alþingis.;0:24:00;
341;Ríkisútvarpið ohf.;Ekki útrætt á 144. þingi. (Beið 1. umræðu.);;
342;meðferð og framkvæmd ályktana Alþingis 2013;;0:31:00;
343;stytting bótatímabils atvinnuleysistrygginga;Fyrirspurninni var svarað skriflega.;;
344;óundirbúinn fyrirspurnatími;;;
345;náttúrupassi;;;
346;náttúrupassi og almannaréttur;;;
347;breyting á lögum um Stjórnarráðið;;;
348;kjaradeila lækna og ríkisins;;;
349;lánsveð;;;
350;vopnaöflun og vopnaeign Landhelgisgæslunnar;Fyrirspurnin var felld niður vegna ráðherraskipta.;;
351;kostnaður Landsvirkjunar og umfang vinnu í tengslum við mögulega lagningu sæstrengs;Fyrirspurninni var svarað skriflega.;;
352;lögregla og drónar;Fyrirspurnin var felld niður vegna ráðherraskipta.;;
353;undirbúningur að hönnun og stækkun Þorlákshafnar;Ekki útrætt á 144. þingi. (Beið fyrri umræðu.);;
354;skuldaskilasamningar;Fyrirspurninni var svarað skriflega.;;
