málsnúmer;málsheiti;staða máls;heildartími;nefndir
1;fjárlög 2015;Samþykkt sem lög frá Alþingi.;2 days, 14:24:00;
2;virðisaukaskattur o.fl.;Samþykkt sem lög frá Alþingi.;13:28:00;
3;ýmsar forsendur fjárlagafrumvarps 2015;Samþykkt sem lög frá Alþingi.;6:06:00;
4;fjárhagslegar tryggingarráðstafanir;Samþykkt sem lög frá Alþingi.;1:05:00;
5;hafnalög;Samþykkt sem lög frá Alþingi.;1:40:00;
6;lögbann og dómsmál til að vernda heildarhagsmuni neytenda;Samþykkt sem lög frá Alþingi.;0:15:00;
7;nauðungarsala;Samþykkt sem lög frá Alþingi.;1:15:00;
8;greiðsludráttur í verslunarviðskiptum;Samþykkt sem lög frá Alþingi.;4:05:00;
9;þátttaka íslenska ríkisins í kolvetnisstarfsemi;Samþykkt sem lög frá Alþingi.;-1 day, 23:50:00;
10;Orkustofnun og leit, rannsóknir og vinnsla kolvetnis;Samþykkt sem lög frá Alþingi.;1:05:00;
11;ívilnanir til nýfjárfestinga á Íslandi;Samþykkt sem lög frá Alþingi.;11:31:00;
12;hlutafélög o.fl.;Samþykkt sem lög frá Alþingi.;0:54:00;
13;aðgerðir til að efla lítil og meðalstór fyrirtæki og fyrirtæki í tækni- og hugverkaiðnaði;Ekki útrætt á 144. þingi. (Var í nefnd eftir fyrri umræðu.);2:10:00;
14;efling heilbrigðisþjónustu, menntakerfis og velferðarþjónustu;Ekki útrætt á 144. þingi. (Var í nefnd eftir fyrri umræðu.);1:41:00;
15;framtíðargjaldmiðill Íslands;Ekki útrætt á 144. þingi. (Var í nefnd eftir fyrri umræðu.);2:13:00;
16;hagnýting internetsins og réttindavernd netnotenda;Samþykkt sem ályktun Alþingis.;0:30:00;
17;verslun með áfengi og tóbak o.fl.;Ekki útrætt á 144. þingi. Beið 2. umræðu;17:34:00;
18;útreikningur nýrra neysluviðmiða fyrir íslensk heimili;Ekki útrætt á 144. þingi. (Beið síðari umræðu.);3:10:00;
19;bráðaaðgerðir í byggðamálum;Ekki útrætt á 144. þingi. (Var í nefnd eftir fyrri umræðu.);;
20;óundirbúinn fyrirspurnatími;;;
21;Stjórnarráð Íslands;;;
22;staða og öryggi í fjarskiptum á landsbyggðinni og uppbygging háhraðatengingar í dreifbýli;;0:09:00;
23;hjáseta fulltrúa Íslands hjá Sameinuðu þjóðunum;;1:20:00;
24;rafræn auðkenni og skuldaleiðrétting;;0:35:00;
25;skattsvik;;1:08:00;
26;mygluskemmdir í húsnæði;;1:00:00;
27;skuldaniðurfærsla fyrir leigjendur og búseturéttarhafa;;1:07:00;
28;jafnt aðgengi að internetinu;Ekki útrætt á 144. þingi. (Var í nefnd eftir fyrri umræðu.);0:52:00;
29;tekjustofnar sveitarfélaga;Ekki útrætt á 144. þingi. (Var í nefnd eftir 1. umræðu.);;
30;skyldutrygging lífeyrisréttinda og starfsemi lífeyrissjóða;Samþykkt sem lög frá Alþingi.;;
31;Lánasjóður íslenskra námsmanna;Ekki útrætt á 144. þingi. (Var í nefnd eftir 1. umræðu.);;
32;millilandaflug um Hornafjarðarflugvöll;Ekki útrætt á 144. þingi. (Var í nefnd eftir fyrri umræðu.);;
33;endurskoðun laga um lögheimili;Ekki útrætt á 144. þingi. (Var í nefnd eftir fyrri umræðu.);;
34;mat á heildarhagsmunum vegna hvalveiða;Ekki útrætt á 144. þingi. (Var í nefnd eftir fyrri umræðu.);0:40:00;
35;almannatryggingar;Ekki útrætt á 144. þingi. Beið 2. umræðu;0:45:00;
36;vörugjald;Ekki útrætt á 144. þingi. (Var í nefnd eftir 1. umræðu.);;
37;kyrrsetning, lögbann o.fl.;Ekki útrætt á 144. þingi. (Var í nefnd eftir 1. umræðu.);;
38;óundirbúinn fyrirspurnatími;;;
39;TiSA-samningurinn;;0:02:00;
40;stefnumótun í heilsugæslu;;;
41;gagnrýni forustu ASÍ á fjárlagafrumvarpið;;0:50:00;
42;fyrirvari stjórnarliða við fjárlagafrumvarpið;;;
43;vandi lyflækningasviðs LSH;;;
44;svör við atvinnuumsóknum;;;
45;refsiaðgerðir gagnvart Ísrael;;;
46;uppbygging á Kirkjubæjarklaustri;Fyrirspurninni var svarað munnlega.;;
47;matarsóun;Fyrirspurninni var svarað munnlega.;;
48;TiSA-viðræðurnar;Fyrirspurninni var svarað skriflega.;;
49;virðisaukaskattur af útleigu rafmagnsbíla;Fyrirspurninni var svarað munnlega.;;
50;kostnaður á greiðslu krafna með gjalddaga eða eindaga sem ber upp á frídag eða helgi;Fyrirspurninni var svarað skriflega.;;
51;friðun votlendis;Fyrirspurninni var svarað skriflega.;;
52;aðgerðaáætlun um geðheilbrigðisþjónustu fyrir börn, unglinga og fjölskyldur þeirra;Ekki útrætt á 144. þingi. (Beið síðari umræðu.);4:38:00;
53;óundirbúinn fyrirspurnatími;;3:11:00;
54;samgöngumál á Vestfjörðum;;1:21:00;
55;eignarhald Íbúðalánasjóðs á íbúðum á Suðurnesjum;;0:02:00;
56;loftslagsmál;;;
57;flutningur Fiskistofu;;;
58;flutningsstyrkur til starfsmanna Fiskistofu;;;
59;starfsemi Aflsins á Norðurlandi;;;
60;gagnasafn RÚV;Fyrirspurninni var svarað munnlega.;;
61;eftirlitsstjórnvöld/eftirlitsaðilar;Fyrirspurninni var svarað skriflega.;;
62;eftirlitsstjórnvöld/eftirlitsaðilar;Fyrirspurninni var svarað skriflega.;;
63;eftirlitsstjórnvöld/eftirlitsaðilar;Fyrirspurninni var svarað skriflega.;;
64;eftirlitsstjórnvöld/eftirlitsaðilar;Fyrirspurninni var svarað skriflega.;;
65;eftirlitsstjórnvöld/eftirlitsaðilar;Fyrirspurninni var svarað skriflega.;;
66;eftirlitsstjórnvöld/eftirlitsaðilar;Fyrirspurninni var svarað skriflega.;;
67;eftirlitsstjórnvöld/eftirlitsaðilar;Fyrirspurninni var svarað skriflega.;;
68;eftirlitsstjórnvöld/eftirlitsaðilar;Fyrirspurninni var svarað skriflega.;;
69;eftirlitsstjórnvöld/eftirlitsaðilar;Fyrirspurninni var svarað skriflega.;;
70;eftirlitsstjórnvöld/eftirlitsaðilar;Fyrirspurninni var svarað skriflega.;;
71;eftirlitsstjórnvöld/eftirlitsaðilar;Fyrirspurninni var svarað skriflega.;;
72;evrópsk samstarfsráð í fyrirtækjum;Samþykkt sem lög frá Alþingi.;0:20:00;
73;kosningar til Alþingis;Ekki útrætt á 144. þingi. (Beið 1. umræðu.);;
74;óundirbúinn fyrirspurnatími;;3:35:00;
75;innviðir ferðaþjónustunnar, tekjuleiðir og gjaldtaka;;0:45:00;
76;kennitöluflakk;;0:30:00;
77;laun forseta Íslands;Ekki útrætt á 144. þingi. (Var í nefnd eftir 1. umræðu.);;
78;flutningur Landhelgisgæslunnar til Reykjanesbæjar;Ekki útrætt á 144. þingi. (Var í nefnd eftir fyrri umræðu.);;
79;tollar af milliríkjaverslun við Japan;Fyrirspurninni var svarað skriflega.;;
80;veiðiréttur í Þingvallavatni;Fyrirspurninni var svarað skriflega.;;
81;lagabreytingar vegna fullgildingar sáttmála Sameinuðu þjóðanna um réttindi fatlaðs fólks;Fyrirspurninni var svarað skriflega.;;
82;viðskiptasaga einstaklinga hjá fjármálastofnunum;Fyrirspurninni var svarað skriflega.;;
83;húsaleiga ríkisstofnana á Akureyri;Fyrirspurninni var svarað skriflega.;;
84;ráðningar starfsmanna ráðuneytisins;Fyrirspurninni var svarað skriflega.;;
85;ráðningar starfsmanna innanríkisráðuneytisins;Fyrirspurninni var svarað skriflega.;;
86;ráðningar starfsmanna ráðuneytisins;Fyrirspurninni var svarað skriflega.;;
87;ráðningar starfsmanna ráðuneytisins;Fyrirspurninni var svarað skriflega.;;
88;ráðningar starfsmanna ráðuneytisins;Fyrirspurninni var svarað skriflega.;;
89;ráðningar starfsmanna ráðuneytisins;Fyrirspurninni var svarað skriflega.;;
90;ráðningar starfsmanna atvinnuvega- og nýsköpunarráðuneytisins;Fyrirspurninni var svarað skriflega.;;
91;ráðningar starfsmanna velferðarráðuneytisins;Fyrirspurninni var svarað skriflega.;;
92;ráðningar starfsmanna velferðarráðuneytisins;Fyrirspurninni var svarað skriflega.;;
93;ráðningar starfsmanna atvinnuvega- og nýsköpunarráðuneytisins;Fyrirspurninni var svarað skriflega.;;
94;ráðningar starfsmanna ráðuneytisins;Fyrirspurninni var svarað skriflega.;;
95;efnahagsmál;;;
96;Landbúnaðarháskólinn á Hvanneyri;;;
