nefnd_id,nefnd;fjöldi funda;heildarfundartími;fjöldi mála;mnr
203;atvinnuveganefnd;72;1:20:00;24;144,28,782,305,158,295,645,750,47,724,17,791,766,41,178,647,776,541,784,189,646,710,179,781;
204;umhverfis- og samgöngunefnd;79;0:01:00;24;739,758,403,125,759,775,172,778,32,81,187,416,642,512,173,232,77,55,219,542,404,270,639,231;
142;Íslandsdeild þingmannaráðstefnunnar um norðurskautsmál;2;0:30:00;0;;
207;fjárlaganefnd;78;0:49:00;7;953,750,43,414,442,1,437;
206;stjórnskipunar- og eftirlitsnefnd;61;0:01:00;18;6,750,440,493,235,803,780,48,501,23,471,356,684,27,155,802,292,107;
205;velferðarnefnd;64;0:15:00;43;11,54,299,771,266,795,49,21,750,495,711,154,435,12,844,296,157,300,393,274,138,110,954,156,24,5,255,181,126,19,530,513,644,40,14,306,509,185,757,140,770,33,13;
148;utanríkismálanefnd;39;0:15:00;21;340,22,539,750,774,500,792,791,462,777,7,655,463,584,773,531,345,499,656,448,339;
202;efnahags- og viðskiptanefnd;74;0:15:00;48;634,434,139,432,3,335,18,210,635,186,633,302,233,750,84,183,486,632,764,413,638,4,314,10,494,312,794,88,303,637,790,433,104,636,436,765,2,763,162,211,301,52,38,304,412,891,796,785;
201;allsherjar- og menntamálanefnd;77;0:29:00;35;212,15,797,496,53,570,176,415,783,103,798,30,69,282,222,801,411,649,752,9,70,409,221,767,443,549,555,68,25,543,417,799,137,779,772;
140;Íslandsdeild Vestnorræna ráðsins;6;0:33:00;0;;
139;Íslandsdeild þings Öryggis- og samvinnustofnunar Evrópu;2;0:20:00;0;;
132;Íslandsdeild Alþjóðaþingmannasambandsins;1;0:30:00;0;;
134;Íslandsdeild Evrópuráðsþingsins;6;1:20:00;0;;
147;Íslandsdeild NATO-þingsins;1;1:30:00;0;;
137;Íslandsdeild Norðurlandaráðs;1;-1 day, 18:03:00;0;;
