þingmaður, já, nei, sat hjá, boðaði fjarvist, fjarverandi
Óli Björn Kárason,179,12,3,0,11
Jóhanna María Sigmundsdóttir,959,84,10,49,183
Gunnar Bragi Sveinsson,502,75,2,211,418
Ásta Guðrún Helgadóttir,668,26,301,3,185
Ragnheiður E. Árnadóttir,644,62,2,108,473
Sigurður Ingi Jóhannsson,421,18,2,293,555
Ragnheiður Ríkharðsdóttir,827,62,44,120,198
Kristján L. Möller,692,21,217,186,172
Sigurjón Kjærnested,1,1,0,0,0
Líneik Anna Sævarsdóttir,1009,61,0,115,104
Höskuldur Þórhallsson,518,56,3,160,552
Brynhildur S. Björnsdóttir,0,0,0,0,3
Sigríður Ingibjörg Ingadóttir,649,33,225,16,366
Frosti Sigurjónsson,1078,80,10,0,121
Vilhjálmur Bjarnason,1097,97,2,13,79
Birgir Ármannsson,953,61,50,38,187
Ögmundur Jónasson,163,29,186,302,595
Eygló Harðardóttir,835,84,10,52,308
Fanný Gunnarsdóttir,29,1,0,0,1
Haraldur Einarsson,1010,91,4,41,143
Preben Jón Pétursson,2,0,0,0,0
Svandís Svavarsdóttir,794,67,353,0,75
Páll Jóhann Pálsson,992,91,7,25,122
Elín Hirst,816,61,4,69,166
Brynhildur Pétursdóttir,869,18,227,0,173
Vilhjálmur Árnason,907,71,0,94,217
Björn Valur Gíslason,41,3,30,0,2
Guðlaugur Þór Þórðarson,869,76,31,8,305
Helgi Hrafn Gunnarsson,594,29,387,1,105
Sigurbjörg Erla Egilsdóttir,60,7,38,0,1
Ásmundur Einar Daðason,720,61,2,289,194
Jón Gunnarsson,764,61,3,116,345
Silja Dögg Gunnarsdóttir,908,88,2,58,233
Sandra Dís Hafþórsdóttir,0,1,0,0,1
Ingibjörg Þórðardóttir,1,0,0,0,0
Birgitta Jónsdóttir,718,62,325,37,114
Einar K. Guðfinnsson,1067,80,0,95,47
Fjóla Hrund Björnsdóttir,49,2,0,0,1
Heiða Kristín Helgadóttir,76,2,9,0,13
Ásmundur Friðriksson,798,66,26,0,397
Katrín Jakobsdóttir,600,59,275,34,290
Geir Jón Þórisson,36,10,0,0,26
Óttarr Proppé,826,26,262,6,166
Björgvin G. Sigurðsson,2,0,0,0,0
Árni Páll Árnason,585,40,237,9,411
Steinunn Þóra Árnadóttir,732,69,357,6,80
Sigríður Á. Andersen,930,81,58,34,186
Bjarni Benediktsson,750,64,2,89,384
Björn Leví Gunnarsson,4,4,24,0,1
Guðmundur Steingrímsson,797,29,246,0,214
Róbert Marshall,688,16,163,32,390
Sigrún Magnúsdóttir,800,65,0,7,386
Vigdís Hauksdóttir,740,78,2,32,437
146
Valgerður Gunnarsdóttir,400,40,0,3,13
Bessí Jóhannsdóttir,12,2,0,0,1
Þorsteinn V. Einarsson,1,1,0,0,0
Oddný G. Harðardóttir,282,14,79,2,79
Halldóra Mogensen,267,44,133,6,6
Karen Elísabet Halldórsdóttir,162,16,3,0,2
Bryndís Haraldsdóttir,236,25,0,6,6
Smári McCarthy,298,44,88,16,2
Orri Páll Jóhannsson,7,0,0,0,0
Óli Halldórsson,144,13,26,0,0
Elsa Lára Arnardóttir,377,35,38,0,6
Bjarkey Olsen Gunnarsdóttir,324,27,98,0,7
Sigurður Páll Jónsson,5,0,0,0,0
Ingibjörg Þórðardóttir,6,0,0,0,0
Björn Leví Gunnarsson,286,44,115,2,9
Þorgerður K. Gunnarsdóttir,138,23,16,0,95
Unnur Brá Konráðsdóttir,406,41,0,0,9
Willum Þór Þórsson,143,10,33,0,0
Björt Ólafsdóttir,339,38,18,1,60
Jóhannes Stefánsson,10,2,0,0,0
Steingrímur J. Sigfússon,173,8,75,2,6
Albert Guðmundsson,180,18,0,0,0
Katla Hólm Þórhildardóttir,8,5,2,0,0
Jóhannes A. Kristbjörnsson,1,0,0,0,0
Arnbjörg Sveinsdóttir,164,17,0,0,4
Rósa Björk Brynjólfsdóttir,315,21,88,11,21
Haraldur Benediktsson,232,25,0,0,18
Kristján Þór Júlíusson,153,24,0,0,96
Eva Einarsdóttir,1,1,0,0,0
Lilja Rafney Magnúsdóttir,288,22,78,3,63
Bjarni Halldór Janusson,168,15,1,0,0
Guðrún Ágústa Þórdísardóttir,124,16,43,0,0
Viktor Orri Valgarðsson,84,10,54,0,1
Karólína Helga Símonardóttir,39,0,0,0,0
Jón Steindór Valdimarsson,225,26,17,1,5
Jón Þór Ólafsson,216,39,173,0,25
Álfheiður Ingadóttir,10,0,1,0,1
Dóra Sif Tynes,6,0,0,0,0
Brynjar Níelsson,385,38,1,0,17
Logi Einarsson,331,19,102,1,2
Gunnar Bragi Sveinsson,268,28,42,1,112
Þorsteinn Víglundsson,375,41,22,3,15
Kristín Traustadóttir,4,0,0,0,0
Ásta Guðrún Helgadóttir,237,24,97,7,91
Áslaug Arna Sigurbjörnsdóttir,389,38,0,0,14
Jónína E. Arnardóttir,162,18,0,0,1
Sigurður Ingi Jóhannsson,312,33,33,5,73
