HBH,5
BirgJ,43
BjÓ,84
ÓBK,4
ÁsmD,48
ÖS,16
EKG,2
AME,3
BN,74
ValG,37
EIS,1
KaJúl,36
LGeir,3
BVG,8
BP,84
ÁPÁ,37
SilG,28
SII,44
ÓP,28
GÞÞ,56
HE,55
ÁMF,1
ElH,49
HallM,11
LínS,78
RR,32
JMS,41
GStein,38
SPJ,7
ÞórE,66
SÁA,20
ÞorS,53
PVB,48
ÁstaH,4
SJS,48
RM,39
BSB,2
FSigurj,62
BjG,93
VilB,66
ÁsF,82
JónG,50
SÖÁ,8
SBS,5
VilÁ,77
KLM,43
ELA,58
SSv,52
BÁ,64
HarB,80
ÁI,3
ÖJ,41
IngÓ,2
EyE,2
HHj,36
BLG,3
KJak,33
JÞÓ,46
HöskÞ,38
KG,71
OH,52
PHB,70
SigrG,1
LRM,55
SigrM,19
WÞÞ,88
ÓÞ,11
PJP,87
HHG,67
GuðbH,83
OddO,6
VBj,33
JÁrn,2
SÞÁ,48
VigH,54
UBK,82
