mp_id,meeting_count
1164,30
1165,10
1166,23
1167,17
708,6
1161,16
1162,25
1176,23
704,15
705,11
706,17
707,16
1168,34
1169,27
660,12
396,11
1159,24
1181,12
679,9
656,14
690,8
658,11
719,14
694,17
1172,18
1196,1
678,9
730,15
1018,4
650,8
934,11
557,10
1012,16
477,23
1177,24
631,5
1175,16
1174,7
1173,29
1158,30
1171,7
1170,32
1157,25
714,22
712,20
1179,21
1178,32
683,19
1188,3
1186,2
1187,1
1185,2
1183,2
1180,30
737,5
630,14
688,20
721,20
1160,17
686,7
728,14
