mp_id,total_meetings,attended_meetings
HarB,37,30
ÖJ,16,14
HHG,20,23
JMS,22,17
BN,22,17
ELA,20,16
FSigurj,26,25
ÖS,8,5
GStein,19,15
VBj,17,11
VigH,16,17
ÁsmD,25,16
JÞÓ,7,34
KG,32,27
KaJúl,18,12
KLM,21,11
PJP,34,29
BjÓ,33,30
HE,6,10
GÞÞ,24,14
KJak,6,8
HHj,17,11
ÓP,8,7
RR,19,17
PVB,19,18
ÁPÁ,18,9
SSv,20,15
BÁ,14,8
SigrM,16,11
SJS,20,10
BjG,16,16
JónG,22,20
VilB,26,24
VilÁ,26,23
ValG,18,16
SilG,8,7
BP,16,24
ÁÞS,8,9
OH,16,14
LínS,38,32
ÁsF,33,25
LRM,33,22
SII,12,20
ÞorS,21,21
WÞÞ,34,32
RM,8,6
EKG,0,0
GuðbH,20,19
ÞórE,33,30
ElH,14,12
PHB,35,23
UBK,31,20
HöskÞ,8,7
BirgJ,16,14
