þingmaður, orð á mín, hraðasta ræða, url, hægasta ræða, url
Ólafur Ragnar Grímsson,91,91,http://www.althingi.is/altext/raeda/143/rad20131001T140711.html,91,http://www.althingi.is/altext/raeda/143/rad20131001T140711.html
Sigmundur Davíð Gunnlaugsson,136,171,http://www.althingi.is/altext/raeda/143/rad20140327T103456.html,109,http://www.althingi.is/altext/raeda/143/rad20140129T151722.html
Árni Páll Árnason,128,172,http://www.althingi.is/altext/raeda/143/rad20140116T141510.html,85,http://www.althingi.is/altext/raeda/143/rad20140410T225119.html
Katrín Jakobsdóttir,152,200,http://www.althingi.is/altext/raeda/143/rad20140401T234125.html,121,http://www.althingi.is/altext/raeda/143/rad20131119T184524.html
Bjarni Benediktsson,131,172,http://www.althingi.is/altext/raeda/143/rad20140402T192900.html,94,http://www.althingi.is/altext/raeda/143/rad20140430T172554.html
Guðmundur Steingrímsson,130,183,http://www.althingi.is/altext/raeda/143/rad20140219T190028.html,93,http://www.althingi.is/altext/raeda/143/rad20131213T103310.html
Birgitta Jónsdóttir,124,159,http://www.althingi.is/altext/raeda/143/rad20131202T154903.html,95,http://www.althingi.is/altext/raeda/143/rad20140410T122337.html
Líneik Anna Sævarsdóttir,128,166,http://www.althingi.is/altext/raeda/143/rad20131101T105212.html,105,http://www.althingi.is/altext/raeda/143/rad20140513T172630.html
Oddný G. Harðardóttir,115,150,http://www.althingi.is/altext/raeda/143/rad20140218T135935.html,82,http://www.althingi.is/altext/raeda/143/rad20131211T163635.html
Lilja Rafney Magnúsdóttir,115,166,http://www.althingi.is/altext/raeda/143/rad20131004T112000.html,82,http://www.althingi.is/altext/raeda/143/rad20131212T204451.html
Haraldur Benediktsson,142,170,http://www.althingi.is/altext/raeda/143/rad20140116T112241.html,113,http://www.althingi.is/altext/raeda/143/rad20140430T180442.html
Björt Ólafsdóttir,115,149,http://www.althingi.is/altext/raeda/143/rad20131015T135611.html,88,http://www.althingi.is/altext/raeda/143/rad20131009T154942.html
Jón Þór Ólafsson,126,166,http://www.althingi.is/altext/raeda/143/rad20131004T142157.html,71,http://www.althingi.is/altext/raeda/143/rad20140225T225535.html
Sigurður Ingi Jóhannsson,144,185,http://www.althingi.is/altext/raeda/143/rad20140319T183942.html,101,http://www.althingi.is/altext/raeda/143/rad20140515T200642.html
Helgi Hjörvar,128,182,http://www.althingi.is/altext/raeda/143/rad20131216T180244.html,89,http://www.althingi.is/altext/raeda/143/rad20140409T204731.html
Árni Þór Sigurðsson,134,167,http://www.althingi.is/altext/raeda/143/rad20140513T170527.html,98,http://www.althingi.is/altext/raeda/143/rad20140513T180613.html
Ragnheiður E. Árnadóttir,133,165,http://www.althingi.is/altext/raeda/143/rad20140326T162152.html,98,http://www.althingi.is/altext/raeda/143/rad20140114T175517.html
Páll Valur Björnsson,165,203,http://www.althingi.is/altext/raeda/143/rad20140408T133826.html,136,http://www.althingi.is/altext/raeda/143/rad20140502T141103.html
Helgi Hrafn Gunnarsson,152,201,http://www.althingi.is/altext/raeda/143/rad20140128T150232.html,109,http://www.althingi.is/altext/raeda/143/rad20140509T152608.html
Bjarkey Olsen Gunnarsdóttir,133,188,http://www.althingi.is/altext/raeda/143/rad20131112T141846.html,93,http://www.althingi.is/altext/raeda/143/rad20140515T192007.html
Guðlaugur Þór Þórðarson,142,196,http://www.althingi.is/altext/raeda/143/rad20140402T183340.html,99,http://www.althingi.is/altext/raeda/143/rad20140429T140239.html
Vigdís Hauksdóttir,125,156,http://www.althingi.is/altext/raeda/143/rad20131218T213927.html,90,http://www.althingi.is/altext/raeda/143/rad20131210T161807.html
Guðbjartur Hannesson,155,204,http://www.althingi.is/altext/raeda/143/rad20131004T144134.html,116,http://www.althingi.is/altext/raeda/143/rad20140411T001311.html
Steingrímur J. Sigfússon,145,196,http://www.althingi.is/altext/raeda/143/rad20131003T150252.html,100,http://www.althingi.is/altext/raeda/143/rad20140225T233352.html
Ásmundur Einar Daðason,136,162,http://www.althingi.is/altext/raeda/143/rad20140123T152026.html,102,http://www.althingi.is/altext/raeda/143/rad20140509T135642.html
Brynhildur Pétursdóttir,146,179,http://www.althingi.is/altext/raeda/143/rad20140227T155317.html,110,http://www.althingi.is/altext/raeda/143/rad20140512T153150.html
Valgerður Gunnarsdóttir,110,129,http://www.althingi.is/altext/raeda/143/rad20131214T101429.html,89,http://www.althingi.is/altext/raeda/143/rad20140320T185845.html
Sigríður Ingibjörg Ingadóttir,105,143,http://www.althingi.is/altext/raeda/143/rad20140311T183626.html,80,http://www.althingi.is/altext/raeda/143/rad20140314T014432.html
Gunnar Bragi Sveinsson,150,192,http://www.althingi.is/altext/raeda/143/rad20140114T135611.html,117,http://www.althingi.is/altext/raeda/143/rad20131015T145917.html
