þingmaður, orð á mín, hraðasta ræða, url, hægasta ræða, url
Sigmundur Davíð Gunnlaugsson,137,185,http://www.althingi.is/altext/raeda/144/rad20150515T113445.html,111,http://www.althingi.is/altext/raeda/144/rad20150224T134122.html
Árni Páll Árnason,130,187,http://www.althingi.is/altext/raeda/144/rad20140917T164441.html,89,http://www.althingi.is/altext/raeda/144/rad20150602T204742.html
Katrín Jakobsdóttir,151,194,http://www.althingi.is/altext/raeda/144/rad20150127T141856.html,124,http://www.althingi.is/altext/raeda/144/rad20150430T170739.html
Bjarni Benediktsson,133,181,http://www.althingi.is/altext/raeda/144/rad20150427T150541.html,89,http://www.althingi.is/altext/raeda/144/rad20141006T163106.html
Guðmundur Steingrímsson,128,160,http://www.althingi.is/altext/raeda/144/rad20150608T151004.html,91,http://www.althingi.is/altext/raeda/144/rad20140923T152747.html
Jón Þór Ólafsson,138,188,http://www.althingi.is/altext/raeda/144/rad20150521T145907.html,98,http://www.althingi.is/altext/raeda/144/rad20141203T214654.html
Vigdís Hauksdóttir,130,169,http://www.althingi.is/altext/raeda/144/rad20150317T135945.html,102,http://www.althingi.is/altext/raeda/144/rad20141209T225055.html
Katrín Júlíusdóttir,140,185,http://www.althingi.is/altext/raeda/144/rad20150416T105128.html,108,http://www.althingi.is/altext/raeda/144/rad20150414T204649.html
Steinunn Þóra Árnadóttir,105,133,http://www.althingi.is/altext/raeda/144/rad20150520T153525.html,77,http://www.althingi.is/altext/raeda/144/rad20150428T184725.html
Ragnheiður Ríkharðsdóttir,116,145,http://www.althingi.is/altext/raeda/144/rad20150414T214600.html,88,http://www.althingi.is/altext/raeda/144/rad20150203T140245.html
Björt Ólafsdóttir,122,159,http://www.althingi.is/altext/raeda/144/rad20150521T144043.html,88,http://www.althingi.is/altext/raeda/144/rad20141204T232033.html
Helgi Hrafn Gunnarsson,154,206,http://www.althingi.is/altext/raeda/144/rad20150430T145757.html,107,http://www.althingi.is/altext/raeda/144/rad20150414T212107.html
Gunnar Bragi Sveinsson,154,180,http://www.althingi.is/altext/raeda/144/rad20150326T125150.html,123,http://www.althingi.is/altext/raeda/144/rad20150319T112734.html
Kristján L. Möller,143,186,http://www.althingi.is/altext/raeda/144/rad20141216T200439.html,111,http://www.althingi.is/altext/raeda/144/rad20150521T130635.html
Steingrímur J. Sigfússon,150,188,http://www.althingi.is/altext/raeda/144/rad20150612T143141.html,106,http://www.althingi.is/altext/raeda/144/rad20150428T215954.html
Guðlaugur Þór Þórðarson,146,191,http://www.althingi.is/altext/raeda/144/rad20150204T161245.html,103,http://www.althingi.is/altext/raeda/144/rad20140916T165152.html
Brynhildur S. Björnsdóttir,131,161,http://www.althingi.is/altext/raeda/144/rad20140912T205728.html,98,http://www.althingi.is/altext/raeda/144/rad20140912T153416.html
Birgitta Jónsdóttir,123,169,http://www.althingi.is/altext/raeda/144/rad20150122T145219.html,87,http://www.althingi.is/altext/raeda/144/rad20140923T164226.html
Helgi Hjörvar,125,160,http://www.althingi.is/altext/raeda/144/rad20141212T150748.html,78,http://www.althingi.is/altext/raeda/144/rad20150303T170323.html
Ólína Kjerúlf Þorvarðardóttir,119,135,http://www.althingi.is/altext/raeda/144/rad20140917T150253.html,94,http://www.althingi.is/altext/raeda/144/rad20150129T151250.html
Karl Garðarsson,141,168,http://www.althingi.is/altext/raeda/144/rad20140925T115950.html,109,http://www.althingi.is/altext/raeda/144/rad20150527T101314.html
Össur Skarphéðinsson,144,186,http://www.althingi.is/altext/raeda/144/rad20150305T130352.html,109,http://www.althingi.is/altext/raeda/144/rad20150612T204832.html
Brynhildur Pétursdóttir,145,200,http://www.althingi.is/altext/raeda/144/rad20150129T192253.html,101,http://www.althingi.is/altext/raeda/144/rad20150324T184033.html
Valgerður Gunnarsdóttir,112,132,http://www.althingi.is/altext/raeda/144/rad20141112T151720.html,85,http://www.althingi.is/altext/raeda/144/rad20150226T110739.html
Lilja Rafney Magnúsdóttir,113,187,http://www.althingi.is/altext/raeda/144/rad20150521T150725.html,80,http://www.althingi.is/altext/raeda/144/rad20150224T151418.html
Pétur H. Blöndal,133,157,http://www.althingi.is/altext/raeda/144/rad20141211T162341.html,100,http://www.althingi.is/altext/raeda/144/rad20150128T161846.html
Haraldur Benediktsson,142,169,http://www.althingi.is/altext/raeda/144/rad20150227T130306.html,115,http://www.althingi.is/altext/raeda/144/rad20150529T140328.html
Svandís Svavarsdóttir,126,175,http://www.althingi.is/altext/raeda/144/rad20150122T152926.html,80,http://www.althingi.is/altext/raeda/144/rad20150205T121114.html
