þingmaður, orð á mín, hraðasta ræða, url, hægasta ræða, url
Sigmundur Davíð Gunnlaugsson,140,181,http://www.althingi.is/altext/raeda/145/rad20151005T150637.html,115,http://www.althingi.is/altext/raeda/145/rad20160408T163825.html
Árni Páll Árnason,132,185,http://www.althingi.is/altext/raeda/145/rad20160830T210414.html,90,http://www.althingi.is/altext/raeda/145/rad20151203T154216.html
Katrín Jakobsdóttir,151,195,http://www.althingi.is/altext/raeda/145/rad20160526T143558.html,114,http://www.althingi.is/altext/raeda/145/rad20160816T231403.html
Bjarni Benediktsson,137,197,http://www.althingi.is/altext/raeda/145/rad20151119T140826.html,97,http://www.althingi.is/altext/raeda/145/rad20151202T171335.html
Óttarr Proppé,116,171,http://www.althingi.is/altext/raeda/145/rad20160413T155826.html,87,http://www.althingi.is/altext/raeda/145/rad20160823T172558.html
Birgitta Jónsdóttir,124,168,http://www.althingi.is/altext/raeda/145/rad20160517T133431.html,58,http://www.althingi.is/altext/raeda/145/rad20151117T140018.html
Eygló Harðardóttir,143,183,http://www.althingi.is/altext/raeda/145/rad20160204T152029.html,109,http://www.althingi.is/altext/raeda/145/rad20160920T174154.html
Katrín Júlíusdóttir,139,168,http://www.althingi.is/altext/raeda/145/rad20151124T171040.html,111,http://www.althingi.is/altext/raeda/145/rad20151124T234432.html
Bjarkey Olsen Gunnarsdóttir,136,185,http://www.althingi.is/altext/raeda/145/rad20160204T120047.html,101,http://www.althingi.is/altext/raeda/145/rad20151217T225726.html
Jón Gunnarsson,145,190,http://www.althingi.is/altext/raeda/145/rad20151215T104227.html,106,http://www.althingi.is/altext/raeda/145/rad20160128T151520.html
Brynhildur Pétursdóttir,145,188,http://www.althingi.is/altext/raeda/145/rad20161011T114147.html,105,http://www.althingi.is/altext/raeda/145/rad20151216T003157.html
Ásta Guðrún Helgadóttir,133,184,http://www.althingi.is/altext/raeda/145/rad20160504T152422.html,93,http://www.althingi.is/altext/raeda/145/rad20151215T212702.html
Ásmundur Einar Daðason,146,171,http://www.althingi.is/altext/raeda/145/rad20151210T172454.html,120,http://www.althingi.is/altext/raeda/145/rad20151209T164802.html
Sigríður Ingibjörg Ingadóttir,112,141,http://www.althingi.is/altext/raeda/145/rad20151020T144704.html,75,http://www.althingi.is/altext/raeda/145/rad20151216T013411.html
Steinunn Þóra Árnadóttir,106,148,http://www.althingi.is/altext/raeda/145/rad20151215T114811.html,70,http://www.althingi.is/altext/raeda/145/rad20161012T171036.html
Sigríður Á. Andersen,120,172,http://www.althingi.is/altext/raeda/145/rad20160830T202500.html,88,http://www.althingi.is/altext/raeda/145/rad20160601T213917.html
Guðmundur Steingrímsson,135,184,http://www.althingi.is/altext/raeda/145/rad20161011T151531.html,106,http://www.althingi.is/altext/raeda/145/rad20151006T165917.html
