þingmaður, orð á mín, hraðasta ræða, url, hægasta ræða, url
Birgir Ármannsson,132,153,http://www.althingi.is/xml/142/raedur/rad20130917T140228.xml,109,http://www.althingi.is/xml/142/raedur/rad20130606T160308.xml
Sigmundur Davíð Gunnlaugsson,147,183,http://www.althingi.is/xml/142/raedur/rad20130611T133356.xml,122,http://www.althingi.is/xml/142/raedur/rad20130613T141926.xml
Árni Páll Árnason,131,166,http://www.althingi.is/xml/142/raedur/rad20130612T160714.xml,102,http://www.althingi.is/xml/142/raedur/rad20130626T160806.xml
Katrín Jakobsdóttir,146,163,http://www.althingi.is/xml/142/raedur/rad20130613T140012.xml,126,http://www.althingi.is/xml/142/raedur/rad20130701T230329.xml
Bjarni Benediktsson,129,152,http://www.althingi.is/xml/142/raedur/rad20130703T195403.xml,99,http://www.althingi.is/xml/142/raedur/rad20130704T223250.xml
Guðmundur Steingrímsson,127,167,http://www.althingi.is/xml/142/raedur/rad20130917T165144.xml,99,http://www.althingi.is/xml/142/raedur/rad20130621T112229.xml
Jón Þór Ólafsson,124,160,http://www.althingi.is/xml/142/raedur/rad20130627T103727.xml,88,http://www.althingi.is/xml/142/raedur/rad20130702T152552.xml
Helgi Hrafn Gunnarsson,151,171,http://www.althingi.is/xml/142/raedur/rad20130618T144625.xml,126,http://www.althingi.is/xml/142/raedur/rad20130624T191740.xml
Eygló Harðardóttir,142,165,http://www.althingi.is/xml/142/raedur/rad20130626T162423.xml,122,http://www.althingi.is/xml/142/raedur/rad20130626T160343.xml
Katrín Júlíusdóttir,144,196,http://www.althingi.is/xml/142/raedur/rad20130627T105926.xml,116,http://www.althingi.is/xml/142/raedur/rad20130628T142633.xml
Ögmundur Jónasson,119,145,http://www.althingi.is/xml/142/raedur/rad20130611T152532.xml,101,http://www.althingi.is/xml/142/raedur/rad20130701T203343.xml
Ragnheiður Ríkharðsdóttir,118,148,http://www.althingi.is/xml/142/raedur/rad20130704T201116.xml,84,http://www.althingi.is/xml/142/raedur/rad20130625T134336.xml
Brynhildur Pétursdóttir,154,170,http://www.althingi.is/xml/142/raedur/rad20130702T134425.xml,136,http://www.althingi.is/xml/142/raedur/rad20130620T140121.xml
Sigurður Ingi Jóhannsson,138,159,http://www.althingi.is/xml/142/raedur/rad20130614T121101.xml,113,http://www.althingi.is/xml/142/raedur/rad20130704T213151.xml
Sigríður Ingibjörg Ingadóttir,108,129,http://www.althingi.is/xml/142/raedur/rad20130917T150717.xml,79,http://www.althingi.is/xml/142/raedur/rad20130704T134711.xml
Bjarkey Olsen Gunnarsdóttir,141,175,http://www.althingi.is/xml/142/raedur/rad20130620T141116.xml,94,http://www.althingi.is/xml/142/raedur/rad20130916T180558.xml
Valgerður Gunnarsdóttir,107,120,http://www.althingi.is/xml/142/raedur/rad20130910T155613.xml,91,http://www.althingi.is/xml/142/raedur/rad20130611T155826.xml
Óttarr Proppé,117,140,http://www.althingi.is/xml/142/raedur/rad20130610T220215.xml,95,http://www.althingi.is/xml/142/raedur/rad20130912T114758.xml
Gunnar Bragi Sveinsson,156,165,http://www.althingi.is/xml/142/raedur/rad20130912T130944.xml,147,http://www.althingi.is/xml/142/raedur/rad20130912T110817.xml
Pétur H. Blöndal,136,169,http://www.althingi.is/xml/142/raedur/rad20130916T175624.xml,113,http://www.althingi.is/xml/142/raedur/rad20130624T160837.xml
Árni Þór Sigurðsson,138,177,http://www.althingi.is/xml/142/raedur/rad20130911T172220.xml,105,http://www.althingi.is/xml/142/raedur/rad20130702T161856.xml
Valgerður Bjarnadóttir,116,134,http://www.althingi.is/xml/142/raedur/rad20130613T134137.xml,103,http://www.althingi.is/xml/142/raedur/rad20130916T181251.xml
