þingmaður, orð á mín, hraðasta ræða, url, hægasta ræða, url
Arna Lára Jónsdóttir,158,181,http://www.althingi.is/xml/149/raedur/rad20180917T161931.xml,136,http://www.althingi.is/xml/149/raedur/rad20180920T103242.xml
Kolbeinn Óttarsson Proppé,129,164,http://www.althingi.is/xml/149/raedur/rad20181018T172915.xml,91,http://www.althingi.is/xml/149/raedur/rad20190320T152317.xml
Steinunn Þóra Árnadóttir,100,144,http://www.althingi.is/xml/149/raedur/rad20181107T151301.xml,71,http://www.althingi.is/xml/149/raedur/rad20181026T000711.xml
Anna Kolbrún Árnadóttir,121,148,http://www.althingi.is/xml/149/raedur/rad20181214T134812.xml,94,http://www.althingi.is/xml/149/raedur/rad20190319T213043.xml
Brynjar Níelsson,117,161,http://www.althingi.is/xml/149/raedur/rad20181108T164034.xml,85,http://www.althingi.is/xml/149/raedur/rad20190305T143330.xml
Heiða Guðný Ásgeirsdóttir,191,207,http://www.althingi.is/xml/149/raedur/rad20180918T133306.xml,176,http://www.althingi.is/xml/149/raedur/rad20180920T120036.xml
Guðmundur Ingi Kristinsson,123,173,http://www.althingi.is/xml/149/raedur/rad20181119T171626.xml,87,http://www.althingi.is/xml/149/raedur/rad20190319T145634.xml
Helgi Hrafn Gunnarsson,162,210,http://www.althingi.is/xml/149/raedur/rad20181107T160032.xml,118,http://www.althingi.is/xml/149/raedur/rad20181023T185923.xml
Bryndís Haraldsdóttir,144,184,http://www.althingi.is/xml/149/raedur/rad20181213T141611.xml,102,http://www.althingi.is/xml/149/raedur/rad20190131T125713.xml
Olga Margrét Cilia,161,172,http://www.althingi.is/xml/149/raedur/rad20190123T150747.xml,147,http://www.althingi.is/xml/149/raedur/rad20190410T150744.xml
Vilhjálmur Árnason,130,163,http://www.althingi.is/xml/149/raedur/rad20181127T163936.xml,97,http://www.althingi.is/xml/149/raedur/rad20190218T174333.xml
Hjálmar Bogi Hafliðason,165,184,http://www.althingi.is/xml/149/raedur/rad20180918T140227.xml,146,http://www.althingi.is/xml/149/raedur/rad20180920T131404.xml
Maríanna Eva Ragnarsdóttir,141,148,http://www.althingi.is/xml/149/raedur/rad20180919T151111.xml,135,http://www.althingi.is/xml/149/raedur/rad20180926T150452.xml
Silja Dögg Gunnarsdóttir,131,144,http://www.althingi.is/xml/149/raedur/rad20180919T151758.xml,112,http://www.althingi.is/xml/149/raedur/rad20180920T155052.xml
Teitur Björn Einarsson,122,148,http://www.althingi.is/xml/149/raedur/rad20181011T145850.xml,96,http://www.althingi.is/xml/149/raedur/rad20181011T144542.xml
Andrés Ingi Jónsson,113,151,http://www.althingi.is/xml/149/raedur/rad20181011T114859.xml,83,http://www.althingi.is/xml/149/raedur/rad20190306T162538.xml
Birgir Ármannsson,117,144,http://www.althingi.is/xml/149/raedur/rad20181122T125829.xml,94,http://www.althingi.is/xml/149/raedur/rad20181204T174326.xml
Oddný G. Harðardóttir,114,150,http://www.althingi.is/xml/149/raedur/rad20180927T130754.xml,85,http://www.althingi.is/xml/149/raedur/rad20190307T144340.xml
Sigríður María Egilsdóttir,132,143,http://www.althingi.is/xml/149/raedur/rad20180925T134439.xml,115,http://www.althingi.is/xml/149/raedur/rad20190319T202233.xml
Lilja Rafney Magnúsdóttir,114,144,http://www.althingi.is/xml/149/raedur/rad20190321T174054.xml,90,http://www.althingi.is/xml/149/raedur/rad20181210T180008.xml
Jón Þór Þorvaldsson,126,188,http://www.althingi.is/xml/149/raedur/rad20181204T134355.xml,81,http://www.althingi.is/xml/149/raedur/rad20181011T153610.xml
Snæbjörn Brynjarsson,165,185,http://www.althingi.is/xml/149/raedur/rad20181213T142311.xml,150,http://www.althingi.is/xml/149/raedur/rad20181213T201631.xml
Una María Óskarsdóttir,124,159,http://www.althingi.is/xml/149/raedur/rad20181011T104114.xml,97,http://www.althingi.is/xml/149/raedur/rad20190411T132239.xml
Jón Gunnarsson,130,180,http://www.althingi.is/xml/149/raedur/rad20181211T204415.xml,105,http://www.althingi.is/xml/149/raedur/rad20190410T161820.xml
Jóhanna Vigdís Guðmundsdóttir,131,140,http://www.althingi.is/xml/149/raedur/rad20181018T161530.xml,122,http://www.althingi.is/xml/149/raedur/rad20181016T133838.xml
Þórarinn Ingi Pétursson,108,125,http://www.althingi.is/xml/149/raedur/rad20181025T114713.xml,92,http://www.althingi.is/xml/149/raedur/rad20190409T205642.xml
Ingibjörg Þórðardóttir,145,160,http://www.althingi.is/xml/149/raedur/rad20181017T151146.xml,108,http://www.althingi.is/xml/149/raedur/rad20181016T180523.xml
Jóhann Friðrik Friðriksson,113,117,http://www.althingi.is/xml/149/raedur/rad20181016T144108.xml,107,http://www.althingi.is/xml/149/raedur/rad20181017T165711.xml
Hildur Sverrisdóttir,142,147,http://www.althingi.is/xml/149/raedur/rad20181025T112539.xml,138,http://www.althingi.is/xml/149/raedur/rad20181121T150358.xml
Þorgrímur Sigmundsson,127,159,http://www.althingi.is/xml/149/raedur/rad20181016T140041.xml,110,http://www.althingi.is/xml/149/raedur/rad20181025T234309.xml
Valgerður Gunnarsdóttir,127,136,http://www.althingi.is/xml/149/raedur/rad20181024T143130.xml,109,http://www.althingi.is/xml/149/raedur/rad20181016T180923.xml
María Hjálmarsdóttir,167,169,http://www.althingi.is/xml/149/raedur/rad20181024T135454.xml,164,http://www.althingi.is/xml/149/raedur/rad20181017T172349.xml
Steingrímur J. Sigfússon,136,165,http://www.althingi.is/xml/149/raedur/rad20181126T164740.xml,108,http://www.althingi.is/xml/149/raedur/rad20190410T225918.xml
Margrét Tryggvadóttir,131,138,http://www.althingi.is/xml/149/raedur/rad20181108T104517.xml,118,http://www.althingi.is/xml/149/raedur/rad20181106T171019.xml
Ásgerður K. Gylfadóttir,132,155,http://www.althingi.is/xml/149/raedur/rad20181107T150413.xml,110,http://www.althingi.is/xml/149/raedur/rad20190321T174317.xml
Pawel Bartoszek,152,183,http://www.althingi.is/xml/149/raedur/rad20181121T153105.xml,135,http://www.althingi.is/xml/149/raedur/rad20181126T201348.xml
Berglind Häsler,127,147,http://www.althingi.is/xml/149/raedur/rad20181121T150614.xml,100,http://www.althingi.is/xml/149/raedur/rad20181122T150211.xml
Karen Elísabet Halldórsdóttir,167,167,http://www.althingi.is/xml/149/raedur/rad20181121T151328.xml,167,http://www.althingi.is/xml/149/raedur/rad20181121T151328.xml
Alex B. Stefánsson,134,142,http://www.althingi.is/xml/149/raedur/rad20181204T134630.xml,126,http://www.althingi.is/xml/149/raedur/rad20181204T170555.xml
Ellert B. Schram,115,125,http://www.althingi.is/xml/149/raedur/rad20181213T105242.xml,104,http://www.althingi.is/xml/149/raedur/rad20181211T135907.xml
Lilja Rannveig Sigurgeirsdóttir,140,140,http://www.althingi.is/xml/149/raedur/rad20181212T150730.xml,140,http://www.althingi.is/xml/149/raedur/rad20181212T150730.xml
Bjartur Aðalbjörnsson,129,131,http://www.althingi.is/xml/149/raedur/rad20190123T152154.xml,127,http://www.althingi.is/xml/149/raedur/rad20190130T153431.xml
Elvar Eyvindsson,121,150,http://www.althingi.is/xml/149/raedur/rad20190123T153355.xml,106,http://www.althingi.is/xml/149/raedur/rad20190124T171650.xml
Albert Guðmundsson,149,149,http://www.althingi.is/xml/149/raedur/rad20190130T150124.xml,149,http://www.althingi.is/xml/149/raedur/rad20190130T150124.xml
Una Hildardóttir,126,133,http://www.althingi.is/xml/149/raedur/rad20190206T151335.xml,122,http://www.althingi.is/xml/149/raedur/rad20190410T151201.xml
Einar Kárason,125,147,http://www.althingi.is/xml/149/raedur/rad20190430T140134.xml,87,http://www.althingi.is/xml/149/raedur/rad20190326T223542.xml
Unnur Brá Konráðsdóttir,124,124,http://www.althingi.is/xml/149/raedur/rad20190219T134222.xml,124,http://www.althingi.is/xml/149/raedur/rad20190228T103138.xml
Álfheiður Eymarsdóttir,100,122,http://www.althingi.is/xml/149/raedur/rad20190306T151734.xml,83,http://www.althingi.is/xml/149/raedur/rad20190219T161920.xml
Fjölnir Sæmundsson,126,147,http://www.althingi.is/xml/149/raedur/rad20190305T133807.xml,109,http://www.althingi.is/xml/149/raedur/rad20190306T194554.xml
Katla Hólm Þórhildardóttir,144,148,http://www.althingi.is/xml/149/raedur/rad20190305T135818.xml,140,http://www.althingi.is/xml/149/raedur/rad20190307T114938.xml
Valgerður Sveinsdóttir,142,142,http://www.althingi.is/xml/149/raedur/rad20190307T112155.xml,142,http://www.althingi.is/xml/149/raedur/rad20190307T112155.xml
Gísli Garðarsson,159,159,http://www.althingi.is/xml/149/raedur/rad20190311T173434.xml,159,http://www.althingi.is/xml/149/raedur/rad20190311T173434.xml
Álfheiður Ingadóttir,115,133,http://www.althingi.is/xml/149/raedur/rad20190409T135523.xml,96,http://www.althingi.is/xml/149/raedur/rad20190410T203744.xml
Páll Valur Björnsson,147,166,http://www.althingi.is/xml/149/raedur/rad20190410T160819.xml,131,http://www.althingi.is/xml/149/raedur/rad20190409T140936.xml
