þingmaður, orð á mín, hraðasta ræða, url, hægasta ræða, url
Katrín Jakobsdóttir,140,173,http://www.althingi.is/xml/151/raedur/rad20201005T103436.xml,102,http://www.althingi.is/xml/151/raedur/rad20201013T154433.xml
Sigmundur Davíð Gunnlaugsson,119,140,http://www.althingi.is/xml/151/raedur/rad20201202T200944.xml,106,http://www.althingi.is/xml/151/raedur/rad20201202T194303.xml
Logi Einarsson,117,142,http://www.althingi.is/xml/151/raedur/rad20201006T153400.xml,101,http://www.althingi.is/xml/151/raedur/rad20201015T122159.xml
Bjarni Benediktsson,119,156,http://www.althingi.is/xml/151/raedur/rad20201112T105316.xml,83,http://www.althingi.is/xml/151/raedur/rad20201202T224242.xml
Halldóra Mogensen,139,149,http://www.althingi.is/xml/151/raedur/rad20201015T104750.xml,115,http://www.althingi.is/xml/151/raedur/rad20201001T200900.xml
Sigurður Ingi Jóhannsson,131,150,http://www.althingi.is/xml/151/raedur/rad20201104T155126.xml,106,http://www.althingi.is/xml/151/raedur/rad20201006T161151.xml
Þorgerður K. Gunnarsdóttir,135,178,http://www.althingi.is/xml/151/raedur/rad20201005T103730.xml,112,http://www.althingi.is/xml/151/raedur/rad20201210T103910.xml
Inga Sæland,131,168,http://www.althingi.is/xml/151/raedur/rad20201124T195917.xml,107,http://www.althingi.is/xml/151/raedur/rad20201001T202850.xml
Andrés Ingi Jónsson,109,139,http://www.althingi.is/xml/151/raedur/rad20201118T164404.xml,84,http://www.althingi.is/xml/151/raedur/rad20201202T185705.xml
Rósa Björk Brynjólfsdóttir,123,164,http://www.althingi.is/xml/151/raedur/rad20201020T145145.xml,98,http://www.althingi.is/xml/151/raedur/rad20201126T191933.xml
Guðmundur Ingi Guðbrandsson,124,159,http://www.althingi.is/xml/151/raedur/rad20201020T151427.xml,92,http://www.althingi.is/xml/151/raedur/rad20201007T133704.xml
Bergþór Ólason,121,149,http://www.althingi.is/xml/151/raedur/rad20201203T121110.xml,94,http://www.althingi.is/xml/151/raedur/rad20201013T192835.xml
Guðmundur Andri Thorsson,100,118,http://www.althingi.is/xml/151/raedur/rad20201202T191329.xml,83,http://www.althingi.is/xml/151/raedur/rad20201007T111905.xml
Bryndís Haraldsdóttir,141,178,http://www.althingi.is/xml/151/raedur/rad20201124T163752.xml,114,http://www.althingi.is/xml/151/raedur/rad20201015T114011.xml
Þórhildur Sunna Ævarsdóttir,119,140,http://www.althingi.is/xml/151/raedur/rad20201124T230011.xml,95,http://www.althingi.is/xml/151/raedur/rad20201012T180937.xml
Lilja Alfreðsdóttir,117,146,http://www.althingi.is/xml/151/raedur/rad20201006T195619.xml,97,http://www.althingi.is/xml/151/raedur/rad20201117T184829.xml
