Óli Björn Kárason;eftirlitsstofnanir;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=37;q
Óli Björn Kárason;eftirlitsstofnanir;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=38;q
Óli Björn Kárason;eftirlitsstofnanir;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=39;q
Óli Björn Kárason;eftirlitsstofnanir;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=40;q
Óli Björn Kárason;eftirlitsstofnanir;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=41;q
Óli Björn Kárason;eftirlitsstofnanir;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=42;q
Óli Björn Kárason;eftirlitsstofnanir;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=43;q
Óli Björn Kárason;eftirlitsstofnanir;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=44;q
Óli Björn Kárason;eftirlitsstofnanir;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=45;q
Björn Leví Gunnarsson;ónýttur persónuafsláttur;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=46;q
Óli Björn Kárason;launakostnaður og fjöldi starfsmanna;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=47;q
Óli Björn Kárason;fjöldi starfsmanna Stjórnarráðsins;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=48;q
Logi Einarsson;greiðsluþátttaka sjúklinga;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=49;a
Andrés Ingi Jónsson;stefna í almannavarna- og öryggismálum;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=50;q
Katrín Jakobsdóttir;skipun loftslagsráðs;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=51;q
Katrín Jakobsdóttir;eftirfylgni við þingsályktun nr. 45/145;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=52;q
Steinunn Þóra Árnadóttir;bann við kjarnorkuvopnum;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=53;m
Steinunn Þóra Árnadóttir;meðferð kynferðisbrota;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=54;q
Benedikt Jóhannesson;niðurfærsla verðtryggðra fasteignalána;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=55;s
Andrés Ingi Jónsson;skráning trúar- og lífsskoðana;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=56;q
Elsa Lára Arnardóttir;heilbrigðisáætlun;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=57;a
Elsa Lára Arnardóttir;upptaka samræmdrar vísitölu neysluverðs;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=58;a
Bjarkey Olsen Gunnarsdóttir;sáttameðferð;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=59;q
Bjarkey Olsen Gunnarsdóttir;fasteignir Þróunarfélags Keflavíkurflugvallar, Kadeco;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=60;q
Ari Trausti Guðmundsson;losun kolefnisgasa frá orkufrekum iðnaði og íslenskum flugflota;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=61;q
Guðjón S. Brjánsson;heildstæð stefna í málefnum einstaklinga með heilabilun;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=62;a
Vilhjálmur Bjarnason;skyldutrygging lífeyrisréttinda og starfsemi lífeyrissjóða;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=63;l
Vilhjálmur Bjarnason;hlutafélög;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=64;l
Vilhjálmur Bjarnason;minning tveggja alda afmælis Jóns Árnasonar;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=65;a
Benedikt Jóhannesson;fjármálastefna 2017--2022;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=66;a
Benedikt Jóhannesson;Lífeyrissjóður bænda;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=67;l
Bjarni Benediktsson;breytt skipan ráðuneyta í Stjórnarráði Íslands;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=68;a
Lilja Rafney Magnúsdóttir;starfshópur um keðjuábyrgð;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=69;a
Jón Þór Ólafsson;upplýsinga- og sannleiksskylda ráðherra;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=70;l
Lilja Rafney Magnúsdóttir;orkukostnaður heimilanna;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=71;q
Eygló Harðardóttir;framsals- og fangaskiptasamningar;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=72;q
Eygló Harðardóttir;framsal íslenskra fanga;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=73;m
Eygló Harðardóttir;byggingarkostnaður og endurskoðun laga;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=74;m
Ari Trausti Guðmundsson;kostnaður við sjúkraflug og fæðingarþjónustu í Vestmannaeyjum;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=75;q
Katrín Jakobsdóttir;merking á vörum frá hernumdum svæðum Palestínu;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=76;a
Bjarkey Olsen Gunnarsdóttir;úttekt á starfsemi fjölmiðla utan höfuðborgarsvæðisins og leiðir til að tryggja stöðu þeirra;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=77;a
Katrín Jakobsdóttir;aðskilnaður fjárfestingarbanka og viðskiptabanka;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=78;a
Katrín Jakobsdóttir;þingnefnd um alþjóðlega fríverslunarsamninga;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=79;a
Nichole Leigh Mosty;sjúkratryggingar;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=80;l
Eygló Harðardóttir;tannvernd aldraðra;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=81;q
Birgitta Jónsdóttir;rafrænt eftirlit við afplánun refsinga;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=82;q
Oddný G. Harðardóttir;stjórn fiskveiða;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=83;l
